"","YL.RP.1488","YL.RP.342","YL.RP.348","YL.RP.977","YL.RP.995","YL.RP.9","YL.RP.Si051","YL.RP.Si062","YL.RP.Si079","YL.RP.Si080","YL.RP.Si081","YL.RP.Si083","YL.RP.Si090","YL.RP.Si214","YL.RP.Si248","YL.RP.Si249","YL.RP.Si268","YL.RS.1488","YL.RS.342","YL.RS.348","YL.RS.977","YL.RS.995","YL.RS.9","YL.RS.Si051","YL.RS.Si062","YL.RS.Si079","YL.RS.Si080","YL.RS.Si081","YL.RS.Si083","YL.RS.Si090","YL.RS.Si214","YL.RS.Si248","YL.RS.Si249","YL.RS.Si268"
"YL.RP.1488",0,0.276390966364785,0.321323543290001,0.2867737981625,0.29681229404484,0.4099711119473,0.661754497781424,0.474495467104128,0.425059157647283,0.360064085030921,0.346266084232989,0.344928008486,0.361836622691652,0.415620142876582,0.377735920874372,0.380924848010096,0.355133417713248,0.545993440671515,0.541843765052954,0.619988039342169,0.565441527886228,0.594721584718713,0.571268921612843,0.646392571814966,0.569980220127597,0.651564992218692,0.569099765386085,0.599505789892215,0.651180348829024,0.659192237025376,0.520276108682893,0.630735342686093,0.639920239640487,0.528018554270428
"YL.RP.342",0.276390966364785,0,0.231914832426262,0.282270801585816,0.253888529294549,0.308648837628371,0.609691150002337,0.432294995383876,0.406549766918982,0.336381798169777,0.317726853119385,0.329125481216886,0.334864669438284,0.361824731654869,0.3514814234377,0.359246193882447,0.34017049328295,0.563341596793204,0.524593969789428,0.628654256385689,0.582790599626752,0.610899507896859,0.526788865369795,0.619415994744313,0.552719912583141,0.663406064494499,0.548493686790751,0.600515622857399,0.654279082179885,0.669597741144628,0.486681178729583,0.614698433541953,0.638201654631438,0.520091390734562
"YL.RP.348",0.321323543290001,0.231914832426262,0,0.323212283830536,0.316786761901962,0.321823026601833,0.643844698052891,0.486912074121435,0.478086454079733,0.377416654870872,0.38694086229205,0.389476758221726,0.386274417780217,0.407481716308743,0.357757560651721,0.364921006555726,0.37558933973349,0.468538033037153,0.441619560770644,0.52121930099967,0.483677124014944,0.546697191254636,0.466984613129735,0.533680775110254,0.468985263791247,0.562694872823467,0.465955917066357,0.504191941803754,0.560458305615988,0.56756442698292,0.407809273362412,0.523608514892783,0.548671856293375,0.425888640653124
"YL.RP.977",0.2867737981625,0.282270801585816,0.323212283830536,0,0.267884609166036,0.421218490981682,0.653613167500954,0.457431862102392,0.449319134648281,0.329860685471036,0.402169597648223,0.414452589422711,0.426895533605275,0.334242040789092,0.437169717818049,0.391553507877434,0.353456351565237,0.598994476633993,0.584667188987425,0.666540891150147,0.598125164666752,0.634085186892186,0.615428142013774,0.692630113047471,0.621783086049306,0.702796815328505,0.616073927105371,0.650620209616645,0.70256925262621,0.706076571820028,0.55121572312181,0.68110095170264,0.690765861813935,0.582801916492142
"YL.RP.995",0.29681229404484,0.253888529294549,0.316786761901962,0.267884609166036,0,0.277623372952509,0.600491285130605,0.373099538277521,0.384692301366699,0.310373749726655,0.332358946955296,0.350602640429677,0.317501271157202,0.364395742338563,0.345492960853132,0.309147223473198,0.367910482873826,0.546102726525766,0.508756379479541,0.608497215569994,0.552727861612646,0.578278140760093,0.517356855910007,0.605626804083873,0.528721289623207,0.63012710871813,0.532636240396822,0.572020631563317,0.622179580636556,0.641146689506716,0.487420716673063,0.58147036674381,0.608203371999222,0.508350718972338
"YL.RP.9",0.4099711119473,0.308648837628371,0.321823026601833,0.421218490981682,0.277623372952509,0,0.555976373288051,0.397384719747267,0.406531004286977,0.336121033910562,0.361906735423923,0.346666401777634,0.302606639969585,0.375913150010551,0.277435965997087,0.300365233383082,0.352903777722411,0.476036582626604,0.431860207369228,0.536898159936761,0.49653044649459,0.530241884704042,0.347680694336085,0.469534178800488,0.4301667057701,0.557787150910554,0.420220232861788,0.506289180995264,0.550555081005099,0.573821076350071,0.382061527890555,0.498509364411917,0.539757525371843,0.432550086312386
"YL.RP.Si051",0.661754497781424,0.609691150002337,0.643844698052891,0.653613167500954,0.600491285130605,0.555976373288051,0,0.452255959036422,0.403356466814882,0.46982930609864,0.527014407598263,0.450711026146422,0.502054752318798,0.49498274705584,0.470263395659696,0.500604633836486,0.495325598767093,0.770252159107642,0.760248600841045,0.79922548271999,0.774617255597535,0.77984455119732,0.662457288471759,0.615504416274386,0.699214027362669,0.806082560203921,0.675671963509649,0.763848889585411,0.809968747640439,0.816178422590135,0.659711886248936,0.769700549242781,0.801515094642487,0.698672624537217
"YL.RP.Si062",0.474495467104128,0.432294995383876,0.486912074121435,0.457431862102392,0.373099538277521,0.397384719747267,0.452255959036422,0,0.222681541584503,0.228650535152815,0.330112256231404,0.294222860795471,0.34554476845434,0.270983317803508,0.326659761110908,0.303774171433379,0.290021233334945,0.710606387000595,0.688428269118766,0.748994081386941,0.708849044094296,0.730186542028453,0.592783669472872,0.637551092306703,0.624681285290097,0.769566874958449,0.611656986205506,0.714197756268288,0.767638119819199,0.775755554746178,0.570002936687291,0.722156901412196,0.754108050268813,0.632502090708389
"YL.RP.Si079",0.425059157647283,0.406549766918982,0.478086454079733,0.449319134648281,0.384692301366699,0.406531004286977,0.403356466814882,0.222681541584503,0,0.21706616509616,0.316543860172794,0.241921010061467,0.306121668983654,0.265228195632743,0.261668296104133,0.308589900579737,0.242196664135621,0.680054980999003,0.666256748029898,0.733768543978158,0.679041232963164,0.699105541508939,0.561339128107536,0.59849116622047,0.610924004444256,0.747095576608054,0.58187975352416,0.692469768423615,0.747588567256265,0.750633257480157,0.548203018540442,0.700299936997455,0.735317290180725,0.595062128410483
"YL.RP.Si080",0.360064085030921,0.336381798169777,0.377416654870872,0.329860685471036,0.310373749726655,0.336121033910562,0.46982930609864,0.228650535152815,0.21706616509616,0,0.276616728713447,0.231833119642301,0.283259784607552,0.207994197969736,0.282467474092598,0.262105295118119,0.20522287077681,0.635261750480602,0.618049274406246,0.686195510829619,0.644146053995742,0.672830109271718,0.533439365223835,0.589521034287288,0.574274746960361,0.717424863518848,0.54825585710739,0.652048106672926,0.714403384284426,0.720777496433312,0.501843343782459,0.665747512236755,0.697887190732623,0.559908267351608
"YL.RP.Si081",0.346266084232989,0.317726853119385,0.38694086229205,0.402169597648223,0.332358946955296,0.361906735423923,0.527014407598263,0.330112256231404,0.316543860172794,0.276616728713447,0,0.230866542221846,0.261007737878099,0.328840445362843,0.308972054000419,0.33560013082401,0.298816338586254,0.626634117469026,0.598818002629761,0.682449187744969,0.643796613822889,0.667504636163972,0.576849900241243,0.639280184247752,0.562987744206064,0.704458675656085,0.569053700390039,0.635174184346322,0.702124417068659,0.707552602983538,0.523338725459962,0.642304299592016,0.684082303516296,0.547094966404416
"YL.RP.Si083",0.344928008486,0.329125481216886,0.389476758221726,0.414452589422711,0.350602640429677,0.346666401777634,0.450711026146422,0.294222860795471,0.241921010061467,0.231833119642301,0.230866542221846,0,0.251858870957977,0.260337931796961,0.223580029567262,0.268818660082645,0.241077728846968,0.601775480677094,0.57848975659189,0.655945686901863,0.621747649285076,0.6447478808949,0.511081103031088,0.553960487477504,0.533073387406735,0.680084580781999,0.50276473836916,0.615020533536621,0.676675632201084,0.682840239110677,0.476609192231567,0.618449345008872,0.65759381249849,0.515436958482214
"YL.RP.Si090",0.361836622691652,0.334864669438284,0.386274417780217,0.426895533605275,0.317501271157202,0.302606639969585,0.502054752318798,0.34554476845434,0.306121668983654,0.283259784607552,0.261007737878099,0.251858870957977,0,0.351040196276197,0.220496272418035,0.278108381684568,0.307335371043718,0.555517227146115,0.539340095724136,0.615331929201883,0.579955612931636,0.594443016483336,0.477393783846653,0.528624821088252,0.490832030342114,0.632719100609261,0.474912446561046,0.572356278086906,0.628042200105245,0.638806303129136,0.457715263834597,0.570683336723195,0.613327140868008,0.481302892916213
"YL.RP.Si214",0.415620142876582,0.361824731654869,0.407481716308743,0.334242040789092,0.364395742338563,0.375913150010551,0.49498274705584,0.270983317803508,0.265228195632743,0.207994197969736,0.328840445362843,0.260337931796961,0.351040196276197,0,0.326140236327293,0.296647073327887,0.229572584947541,0.672913392689375,0.64766789513215,0.714943548962853,0.676823889212792,0.690117298344592,0.563798630891948,0.630426512830141,0.606579530019739,0.739544944858871,0.581562032611178,0.685269308178371,0.738785184882056,0.743238358286418,0.519351804965094,0.693691973532099,0.730093053097367,0.594668128004488
"YL.RP.Si248",0.377735920874372,0.3514814234377,0.357757560651721,0.437169717818049,0.345492960853132,0.277435965997087,0.470263395659696,0.326659761110908,0.261668296104133,0.282467474092598,0.308972054000419,0.223580029567262,0.220496272418035,0.326140236327293,0,0.202099897134982,0.248134092358933,0.52214544119217,0.496035258944622,0.572395377990527,0.531013771995598,0.567532393139809,0.400735085691223,0.447385473245858,0.446134065246643,0.594888720383853,0.423355127031342,0.532584205964303,0.592084767544543,0.599468491856154,0.400894364374735,0.523065363768246,0.569375632251665,0.440287453804977
"YL.RP.Si249",0.380924848010096,0.359246193882447,0.364921006555726,0.391553507877434,0.309147223473198,0.300365233383082,0.500604633836486,0.303774171433379,0.308589900579737,0.262105295118119,0.33560013082401,0.268818660082645,0.278108381684568,0.296647073327887,0.202099897134982,0,0.273063026259418,0.545718008401216,0.524771865310518,0.588087077752131,0.54075825405317,0.566590837918523,0.461154429999068,0.48717424662477,0.466819720078734,0.605477965124619,0.455799471760979,0.550021119113123,0.602887819179574,0.6126035280035,0.434587667855151,0.541226160620602,0.582560408562222,0.465268609121651
