"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_002",1,1,0,1,5.32256645326588e-18,0,"30",0,"Peripherals","","ultra peripheral"
"MAG_004",2,0.6,0,2,0,0,"7",0,"Peripherals","","ultra peripheral"
"MAG_007",3,1,0.5,3,0,0.866025403784439,"37",0,"Peripherals","","ultra peripheral"
"MAG_008",6,0.403225806451613,0,6,2.12902658130635e-17,-0.44624838252542,"5",0,"Peripherals","","ultra peripheral"
"MAG_010",4,1,0,4,0,0,"35",0,"Peripherals","","ultra peripheral"
"MAG_014",6,0.490196078431373,3.14285714285714,6,3.19353987195953e-17,-0.44624838252542,"5",0,"Peripherals","","ultra peripheral"
"MAG_016",1,0.5,0,1,2.66128322663294e-18,-0.866025403784439,"17",0,"Peripherals","","ultra peripheral"
"MAG_019",1,0.454545454545455,0,1,2.66128322663294e-18,-1.11803398874989,"11",0,"Peripherals","","ultra peripheral"
"MAG_031",1,1,0,1,2.66128322663294e-18,0,"20",0,"Peripherals","","ultra peripheral"
"MAG_032",2,0.5,0,2,1.06451329065318e-17,0,"11",0,"Peripherals","","ultra peripheral"
"MAG_033",59,0.407563025210084,518.372598951218,59,0.854563651918503,2.00793592434511,"2",0,"Peripherals","","ultra peripheral"
"MAG_035",2,1,0,2,5.32256645326588e-18,0,"41",0.095,"Peripherals","","peripheral"
"MAG_050",1,1,0,1,2.66128322663294e-18,0,"28",0.277777777777778,"Peripherals","","peripheral"
"MAG_051",1,0.454545454545455,0,1,2.66128322663294e-18,-1.11803398874989,"11",0,"Peripherals","","ultra peripheral"
"MAG_052",1,1,0,1,2.66128322663294e-18,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_053",5,0.283349561830574,0,5,0.0617067404965878,-1.2005635995756,"1",0,"Peripherals","","ultra peripheral"
"MAG_054",3,0.714285714285714,6,3,0,1.11803398874989,"11",0,"Peripherals","","ultra peripheral"
"MAG_056",1,1,0,1,5.32256645326588e-18,0,"27",0,"Peripherals","","ultra peripheral"
"MAG_057",3,0.714285714285714,7,3,0,1.11803398874989,"11",0,"Peripherals","","ultra peripheral"
"MAG_058",3,1,0,3,0,0,"40",0,"Peripherals","","ultra peripheral"
"MAG_059",2,0.5,0,2,5.32256645326588e-18,0,"11",0,"Peripherals","","ultra peripheral"
"MAG_060",1,1,0,1,2.66128322663294e-18,0,"34",0.335,"Peripherals","","peripheral"
"MAG_062",3,1,0,3,5.32256645326588e-18,0,"40",0.373438527284681,"Peripherals","","peripheral"
"MAG_064",44,0.366037735849057,414.09028568793,44,0.53414387663503,1.44587154470946,"3",0,"Peripherals","","ultra peripheral"
