"name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","Phylum","Class","Order","Family","Genus","Species","category"
"MAG_002",1,0,1.0251256281407,2.12902658130635e-17,0.553198562530378,"M36",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig"
"MAG_004",2,0,0.108916177255739,0,0.0229508282066546,"M7",0,0,"Peripheral nodes","Actinobacteriota","Actinomycetia","Mycobacteriales","Pseudonocardiaceae","Crossiella","Unassign","RP sig"
"MAG_007",3,1,0.350816852966466,0,0.178056549864815,"M12",0.866025403784439,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JACDAZ01","Unassign","RP sig"
"MAG_008",6,0,0.0175634954799828,0,0.15626253773467,"M5",-0.44624838252542,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Chryseolinea","Unassign","RP sig"
"MAG_010",4,0,0.260204081632653,3.19353987195953e-17,0.139917042528237,"M9",NA,NA,NA,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Luteolibacter","Unassign","RS sig"
"MAG_014",6,0.5,0.0214387052703484,4.2580531626127e-17,1.24200626804179,"M5",-0.44624838252542,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig"
"MAG_016",1,0,0.179577464788732,0,0.447061782338572,"M11",-0.866025403784439,0,"Peripheral nodes","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig"
"MAG_019",1,0,0.0948396094839609,0,0.650405339557178,"M8",-1.11803398874989,0,"Peripheral nodes","Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig"
"MAG_031",1,0,1.07651715039578,1.86289825864306e-17,0.556448509506958,"M27",NA,NA,NA,"Fibrobacterota","Fibrobacteria","UBA11236","UBA11236","Chersky-265","Unassign","RP sig"
"MAG_032",2,0,0.104427949833632,0,0.286176474180217,"M8",0,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Unassign","RP sig"
