"","ASV","X1","X2","elements","Degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","Group"
"1","MAG_002",32.0477974021445,-23.4183811976905,"MAG_002",1,1,0,1,"model_3"
"2","MAG_004",-16.4044373209754,46.6842236895845,"MAG_004",2,0.6,0,2,"model_1"
"3","MAG_007",12.5323136192984,-21.5259169766954,"MAG_007",3,1,0.5,3,"model_3"
"4","MAG_008",-24.4284606304872,32.2759037673454,"MAG_008",6,0.403225806451613,0,6,"model_1"
"5","MAG_010",-14.4438402843768,25.4176934925156,"MAG_010",4,1,0,4,"model_1"
"6","MAG_014",-22.397172485342,16.6646553887245,"MAG_014",6,0.490196078431373,3.14285714285714,6,"model_1"
"7","MAG_016",-2.57282405532291,18.2118613738219,"MAG_016",1,0.5,0,1,"model_1"
"8","MAG_019",-14.9674843787094,23.128507164253,"MAG_019",1,0.454545454545455,0,1,"model_1"
"9","MAG_031",-9.83398686238096,25.8654884197603,"MAG_031",1,1,0,1,"model_1"
"10","MAG_032",-10.3810134475784,26.8524034734107,"MAG_032",2,0.5,0,2,"model_1"
"11","MAG_033",17.0730251295859,-3.66752268502903,"MAG_033",59,0.407563025210084,518.372598951218,59,"model_3"
"12","MAG_035",-9.68039989818407,28.6680860910147,"MAG_035",2,1,0,2,"model_1"
"13","MAG_042",0.23107371438404,-31.6595436485099,"MAG_042",69,0.408707865168539,1006.43736135795,69,"model_3"
"14","MAG_043",0.766322249085231,21.5266245269623,"MAG_043",6,0.490196078431373,3.14285714285714,6,"model_1"
"15","MAG_045",0.150901649185609,27.4792221730806,"MAG_045",4,1,0,4,"model_1"
"16","MAG_050",-11.5189973876472,1.62111996846306,"MAG_050",1,1,0,1,"model_1"
"17","MAG_051",9.39755724916784,13.0179269613649,"MAG_051",1,0.454545454545455,0,1,"model_1"
"18","MAG_052",-13.7040864656321,10.6496796181354,"MAG_052",1,1,0,1,"model_1"
"19","MAG_053",-7.43741497874088,26.5652670388695,"MAG_053",5,0.283349561830574,0,5,"model_1"
"20","MAG_054",-6.73696578922751,13.5857607560834,"MAG_054",3,0.714285714285714,6,3,"model_1"
"21","MAG_056",26.9447843279601,-23.1744947122775,"MAG_056",1,1,0,1,"model_3"
"22","MAG_057",8.65853873933169,17.6668358742702,"MAG_057",3,0.714285714285714,7,3,"model_1"
"23","MAG_058",31.5620027101683,-31.6316024151925,"MAG_058",3,1,0,3,"model_3"
"24","MAG_059",-18.0163213188026,11.9884667064701,"MAG_059",2,0.5,0,2,"model_1"
