"Phylum","Label","Id","att1","att2","att3","att4","Class","Order","Family","Genus","Species","category","enrich","significant","color"
"Acidobacteriota","MAG_513",344,"MAG_513","Acidobacteriota",0.012106,"M4","Acidobacteriae","Bryobacterales","Bryobacteraceae","JAFLBB01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_590",409,"MAG_590","Acidobacteriota",0.085797,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","PSRF01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_264",140,"MAG_264","Acidobacteriota",0.266731,"M15","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","JAFDVJ01","Unassign","RS","RS","N","#FDCDAC"
"Acidobacteriota","MAG_250",131,"MAG_250","Acidobacteriota",0.077978,"M1","Vicinamibacteria","Vicinamibacterales","UBA2999","JAENWD01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_448",292,"MAG_448","Acidobacteriota",0.01291,"M2","Blastocatellia","UBA7656","UBA7656","JACQDB01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_479",317,"MAG_479","Acidobacteriota",0.023975,"M4","Blastocatellia","RBC074","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_478",316,"MAG_478","Acidobacteriota",0.008491,"M1","Acidobacteriae","Bryobacterales","Bryobacteraceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_365",229,"MAG_365","Acidobacteriota",0.032841,"M4","Acidobacteriae","Bryobacterales","Bryobacteraceae","JAFLBB01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_300",170,"MAG_300","Acidobacteriota",0.142874,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_283",153,"MAG_283","Acidobacteriota",0.097408,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_346",211,"MAG_346","Acidobacteriota",0.030993,"M2","Blastocatellia","DSOJ01","DSOJ01","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_312",182,"MAG_312","Acidobacteriota",0.139381,"M1","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_290",160,"MAG_290","Acidobacteriota",0.086149,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_374",238,"MAG_374","Acidobacteriota",0.191737,"M2","Vicinamibacteria","Vicinamibacterales","UBA2999","12-FULL-67-14b","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_575",396,"MAG_575","Acidobacteriota",0.034909,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","PSRF01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_493",328,"MAG_493","Acidobacteriota",0.012756,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_357",221,"MAG_357","Acidobacteriota",0.009436,"M3","Thermoanaerobaculia","Gp7-AA8","Gp7-AA8","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_231",117,"MAG_231","Acidobacteriota",0.012097,"M2","Acidobacteriae","Acidobacteriales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_341",207,"MAG_341","Acidobacteriota",0.018305,"M1","Mor1","JACPZX01","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_447",291,"MAG_447","Acidobacteriota",0.002367,"M2","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","QHXM01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_557",382,"MAG_557","Acidobacteriota",0.020089,"M1","Vicinamibacteria","Vicinamibacterales","SCN-69-37","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_549",375,"MAG_549","Acidobacteriota",0.005735,"M1","Mor1","Gp22-AA2","Gp22-AA2","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_344",210,"MAG_344","Acidobacteriota",0.073477,"M2","Thermoanaerobaculia","Gp7-AA8","Gp7-AA8","QHVT01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_396",256,"MAG_396","Acidobacteriota",0.0474,"M1","Blastocatellia","UBA7656","UBA7656","JADGNW01","Unassign","RS sig","RS","Y","#FDCDAC"
