"name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","Phylum","Class","Order","Family","Genus","Species","category"
"MAG_002",3,0,0.34901625320787,7.03376279934685e-17,0.060763228214835,"M19",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig"
"MAG_003",1,0,1.0625,4.08788052156431e-17,0.0100555142005081,"M50",NA,NA,NA,"Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP sig"
"MAG_007",3,0,0.351421188630491,7.41121649090281e-17,0.0837147952042301,"M16",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JACDAZ01","Unassign","RP sig"
"MAG_010",3,0,0.340852130325815,9.2130481928823e-17,0.227330749635016,"M21",NA,NA,NA,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Luteolibacter","Unassign","RS sig"
"MAG_012",1,0,1.0625,4.54173675816685e-17,0.310951672056889,"M50",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Unassign","RP sig"
"MAG_014",11,1,0.031875,0.561601836819985,0.549301547698344,"M2",-0.520490286045365,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig"
"MAG_019",1,0,1.02255639097744,4.43441459572398e-17,0.182667142638642,"M58",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig"
"MAG_021",1,0,1.09090909090909,2.79722162637991e-17,0.0226140853187897,"M41",NA,NA,NA,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Unassign","RP sig"
"MAG_024",1,0,1.10869565217391,3.54508074122967e-17,0.191246181703781,"M33",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassign","RP sig"
"MAG_026",1,0,1.08510638297872,3.83944136605501e-17,0.0239148955600319,"M44",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP"
"MAG_027",1,0,0.219354838709677,3.71691298841423e-17,0.0208104298186986,"M23",-1.22474487139159,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Unassign","RP sig"
"MAG_028",1,0,1.08510638297872,4.15003070360387e-17,0.0632835814502565,"M44",NA,NA,NA,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP sig"
"MAG_032",2,0,0.516455696202532,6.71677216164887e-17,0.107587749052495,"M29",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Unassign","RP sig"
"MAG_033",3,0,0.342569269521411,9.41449241505067e-17,0.691010322511387,"M17",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","SG8-39","SCGC-AG-212-J23","Unassign","RS sig"
"MAG_035",4,0,0.0385596824496739,8.99482634525247e-17,0.164428182531838,"M4",0.670863179255864,0,"Peripheral nodes","Thermoproteota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassign","RS sig"
"MAG_036",2,0,0.266841072596468,7.03484647173773e-17,0.0660995135386341,"M18",-0.866025403784439,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Unassign","RP sig"
"MAG_050",1,0,0.354166666666667,4.02251727110944e-17,0.0174842218244129,"M26",-0.577350269189626,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","Unassign","RP sig"
"MAG_052",1,0,1.09090909090909,3.7898780258972e-17,0.0677864709975429,"M40",NA,NA,NA,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP"
"MAG_053",4,0,0.176546949372566,8.35596808465476e-17,0.76591123186223,"M8",0.243975018237133,0,"Peripheral nodes","Desulfobacterota_B","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig"
"MAG_054",2,0,0.515151515151515,5.931509584924e-17,0.0604991082795276,"M29",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Unassign","RP sig"
"MAG_056",3,0,0.349315068493151,7.78917495693593e-17,0.0698906594858845,"M19",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig"
"MAG_057",1,0,1.02255639097744,3.50533223939108e-17,0.175045822902963,"M58",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig"
"MAG_058",3,2,0.214511041009464,1.01366923723324e-16,0.0500479384789995,"M11",0.670820393249937,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassign","Unassign","RP sig"
"MAG_059",2,0,0.519083969465649,6.32833058950667e-17,0.135953062218634,"M29",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Unassign","RP sig"
"MAG_060",1,0,1.01745635910224,3.93288327085258e-17,0.107108274393647,"M60",NA,NA,NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Unassign","RP sig"
"MAG_062",3,3,0.21294363256785,9.91644162534776e-17,0.0989269560285281,"M11",0.670820393249937,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassign","Unassign","RP sig"
"MAG_064",2,0,0.50308261405672,7.20786604060425e-17,2.18818681245174,"M32",NA,NA,NA,"Chloroflexota","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig"
"MAG_039",1,0,1.088,3.57087930271518e-17,0.0148852802183992,"M43",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas geniculata","RP sig"
"MAG_041",2,0,0.549125168236878,6.14578569959784e-17,0.00392715005313961,"M28",NA,NA,NA,"Patescibacteria","Saccharimonadia","Saccharimonadales","EFPC-124","EFPC-124","Unassign","RP sig"
"MAG_042",2,0,0.502463054187192,7.44553020529604e-17,1.09149206434927,"M32",NA,NA,NA,"Chloroflexota","Anaerolineae","Anaerolineales","EnvOPS12","UBA12294","Unassign","RS sig"
"MAG_043",11,1,0.031875,0.561601836819985,0.2874192204557,"M2",-0.520490286045365,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig"
"MAG_045",3,0,0.340567612687813,1.02352336616463e-16,0.306635143591965,"M21",NA,NA,NA,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Luteolibacter","Unassign","RS sig"
"MAG_065",3,0,0.109032602886157,7.6922827609381e-17,0.121934984006161,"M6",-0.106198848810718,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer","Ensifer adhaerens","RP sig"
"MAG_066",1,0,1.00492610837438,4.90189801599002e-17,0.0553686737498566,"M65",NA,NA,NA,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium_A","Unassign","RP sig"
"MAG_067",19,5,0.0414760597743214,0.96129058969006,0.0355548976547377,"M2",1.04951319973082,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae_H","Bacillus_I","Bacillus_I endophytica","RP sig"
"MAG_074",13,0,0.0336717009160683,0.760589527363463,0.00500852380613543,"M2",-0.127989414601319,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus licheniformis","RP sig"
"MAG_078",2,1,0.534731323722149,8.17141258983619e-17,0.311682700374573,"M25",1.15470053837925,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter_A","Unassign","RP sig"
"MAG_081",16,11,0.0384978297792036,0.813317759665826,0.0992643570226628,"M2",0.46076189256475,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus_P","Unassign","RP"
"MAG_084",2,5,0.107907960856916,6.62830147539356e-17,0.0641253222855932,"M6",-0.849590790485746,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium","Neorhizobium huautlense","RP sig"
"MAG_085",2,1,0.527813712807244,7.98891582083887e-17,0.0515289718555449,"M26",1.15470053837925,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","Unassign","RP sig"
"MAG_089",1,0,1.088,3.58525797240749e-17,0.00684376731799287,"M43",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","Stenotrophomonas geniculata","RP sig"
"MAG_090",3,1,0.351118760757315,1.05743012145041e-16,0.075329408397924,"M18",0.866025403784439,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Unassign","RP sig"
"MAG_091",3,0,0.213054830287206,9.44015015073155e-17,0.0940861788988718,"M11",0.670820393249937,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas_H","Unassign","RP sig"
"MAG_093",9,0,0.0301062573789847,0.486320595167171,0.0205335140657434,"M2",-0.912991157489411,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter calcoaceticus","RP sig"
"MAG_094",2,0,0.260869565217391,6.13983752353432e-17,0.0265643241836952,"M15",0,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig"
"MAG_097",1,0,1.01745635910224,4.30752460048177e-17,0.0975077432108094,"M60",NA,NA,NA,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea","Unassign","RP sig"
"MAG_098",3,0,0.348122866894198,9.95741473324136e-17,0.0285972498720332,"M18",0.866025403784439,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Unassign","RP sig"
"MAG_100",3,0,0.349614395886889,8.27041616186208e-17,0.0750361223037915,"M19",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig"
"MAG_101",1,0,0.353552859618717,3.41931297996906e-17,0.285514878343839,"M25",-0.577350269189626,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacter_A","Unassign","RP sig"
"MAG_102",5,0,0.0261287223823247,0.239642156308616,1.17523693391821,"M2",-1.6979929003775,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae_H","Priestia","Priestia megaterium","RP sig"
"MAG_103",2,0,0.266144814090019,5.39733570830687e-17,0.0940442137106344,"M18",-0.866025403784439,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga","Unassign","RP sig"
"MAG_105",1,0,1.088,3.6134738727578e-17,0.00324927909428183,"M42",NA,NA,NA,"Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","Unassign","Unassign","RP sig"
"MAG_106",2,0,0.532637075718016,7.52264151318356e-17,0.00684728193564011,"M28",NA,NA,NA,"Patescibacteria","Saccharimonadia","Saccharimonadales","EFPC-124","EFPC-124","Unassign","RP sig"
"MAG_108",6,3,0.0285454418246694,0.319080633305559,0.161449591272864,"M2",-1.50174246465548,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae","Metabacillus","Metabacillus sp004801455","RP"
"MAG_110",1,0,1.09090909090909,3.80461428152342e-17,0.0924686442105547,"M40",NA,NA,NA,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP"
"MAG_111",15,0,0.0357769203788144,0.867025934513125,0.0644021954032542,"M2",0.264511456842727,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig"
"MAG_113",1,0,0.359471365638766,2.33588716437794e-17,0.367905655783296,"M25",-0.577350269189626,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia_A","Unassign","RP sig"
"MAG_116",1,0,1.07368421052632,3.51110483831726e-17,0.0808217688276133,"M47",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudobacter","Unassign","RP"
"MAG_118",1,0,0.349614395886889,2.92147416378457e-17,0.0610093165207298,"M26",-0.577350269189626,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium","Unassign","RP sig"
"MAG_119",1,0,1.05154639175258,3.11409410681889e-17,0.0113798255652809,"M52",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","Kosakonia cowanii","RP"
"MAG_124",3,0,0.361061946902655,8.72373794740633e-17,0.150839856489975,"M16",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Unassign","Unassign","RP sig"
"MAG_130",2,0,0.271276595744681,5.94437876886915e-17,0.0466085812435316,"M15",0,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig"
"MAG_131",1,0,1.09090909090909,3.63219247944998e-17,0.0027858390589643,"M41",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudobacter","Unassign","RP sig"
"MAG_132",1,0,1.01745635910224,3.40588885610923e-17,0.0542796929792133,"M62",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas_A","Unassign","RP sig"
"MAG_135",2,0,0.266841072596468,5.62869394415036e-17,0.0453951386434703,"M20",-0.866025403784439,0,"Peripheral nodes","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA1547","Unassign","Unassign","RP sig"
"MAG_136",15,0,0.0357769203788144,0.867025934513125,0.0405109126549882,"M2",0.264511456842727,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_D","Amphibacillaceae","Terribacillus","Terribacillus saccharophilus","RP sig"
"MAG_137",4,0.5,0.117241379310345,1.23256713961184e-16,0.093338464698834,"M6",0.63719309286431,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti_A","RP sig"
"MAG_139",1,0,1.05154639175258,3.53046663329955e-17,0.00270765838248976,"M52",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Kosakonia","Kosakonia cowanii","RP sig"
"MAG_142",20,1.5,0.0443092962641181,1,0.106373733599493,"M2",1.24576363545284,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus_P","Unassign","RP"
"MAG_143",1,0,1.01745635910224,4.47821520188105e-17,0.184764573591689,"M61",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP sig"
"MAG_146",17,21.5,0.0386253905140585,0.835740369665447,0.229944962411619,"M2",0.657012328286773,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig"
"MAG_147",17,3,0.0383638928067701,0.894281827625629,0.0900900491045522,"M2",0.657012328286773,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus halotolerans","RP sig"
"MAG_148",7,21,0.0282587616013298,0.328406576117618,0.0684562023387532,"M2",-1.30549202893346,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_G","Fictibacillaceae","Fictibacillus","Fictibacillus barbaricus","RP sig"
"MAG_149",3,0,0.356643356643357,8.06880041438594e-17,0.101910000793385,"M16",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JACDAZ01","Unassign","RP sig"
"MAG_154",2,0,0.259047619047619,5.93539222107036e-17,0.0354142867547306,"M20",-0.866025403784439,0,"Peripheral nodes","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP sig"
"MAG_156",1,0,1.01745635910224,4.03463748808128e-17,0.185359090397601,"M61",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP sig"
"MAG_159",15,4,0.0370875374965912,0.827862857249832,0.21325190964607,"M2",0.264511456842727,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-18226","Cytobacillus","Unassign","RP"
"MAG_163",1,0,1.00492610837438,4.49682179168784e-17,0.0653752689621269,"M65",NA,NA,NA,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium_A","Unassign","RP sig"
"MAG_166",1,0,1.0625,3.65193101675367e-17,0.0643263404561916,"M49",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassign","Unassign","RP sig"
"MAG_169",1,0,1.01745635910224,3.51186028037425e-17,0.0369906200606926,"M62",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas_A","Unassign","RP sig"
"MAG_171",4,0,0.173395665108372,9.14698399541385e-17,0.339335141146558,"M8",0.243975018237133,0,"Peripheral nodes","Desulfobacterota_B","Binatia","UBA9968","UBA9968","WHTF01","Unassign","RS sig"
"MAG_172",1,0,0.133902198884148,2.81252482197532e-17,0.0869608885573353,"M11",-1.56524758424985,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassign","Unassign","RP sig"
"MAG_175",3,0.5,0.347529812606474,9.45651243991205e-17,0.0297984708367998,"M20",0.866025403784439,0,"Peripheral nodes","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","Unassign","Unassign","RP sig"
"MAG_177",1,0,0.0711917640900366,3.80693804619741e-17,0.0555429275086889,"M6",-1.59298273216077,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Neorhizobium","Neorhizobium huautlense","RP sig"
"MAG_178",3,2,0.354782608695652,1.0566050617479e-16,0.0294711436367833,"M15",1.22474487139159,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig"
"MAG_179",3,0,0.345469940728196,8.99854599406954e-17,0.538089824774248,"M17",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","SG8-39","SCGC-AG-212-J23","Unassign","RS sig"
"MAG_180",5,8,0.1524094135226,1.5586592930091e-16,0.188897174133074,"M6",1.38058503453934,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti_A","RP sig"
"MAG_183",19,5,0.0426287744227353,0.970721654734165,0.0375059160195422,"M2",1.04951319973082,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_G","Fictibacillaceae","Fictibacillus","Fictibacillus barbaricus","RP sig"
"MAG_185",1,0,1.0625,3.83275509288942e-17,0.0966506215048837,"M49",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassign","Unassign","RP sig"
"MAG_186",4,0.5,0.117241379310345,8.92776485063741e-17,0.128439824194725,"M6",0.63719309286431,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti_A","RP sig"
"MAG_187",1,0,0.213166144200627,2.77761233876776e-17,0.0410270873138378,"M15",-1.22474487139159,0,"Peripheral nodes","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Agrobacterium","Agrobacterium tumefaciens","RP sig"
"MAG_189",1,0,1.088,3.31621513222247e-17,0.00375540552960152,"M42",NA,NA,NA,"Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","PMNU01","Unassign","RP"
