"","ASV","X1","X2","elements","Degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","Group"
"1","MAG_002",-12.4074578043232,21.3267543985009,"MAG_002",3,1,0,3,"model_3"
"2","MAG_003",12.612285723931,18.0683140975035,"MAG_003",1,1,0,1,"model_3"
"3","MAG_007",22.0326942189167,32.5917059022032,"MAG_007",3,1,0,3,"model_3"
"4","MAG_010",-17.6296792264077,-43.4522348076737,"MAG_010",3,1,0,3,"model_2"
"5","MAG_012",3.1208179109429,21.9353667547547,"MAG_012",1,1,0,1,"model_3"
"6","MAG_014",6.77307505984483,6.47722953854414,"MAG_014",11,0.647058823529412,2.08228715728716,11,"model_3"
"7","MAG_019",3.9968342576987,24.364227409404,"MAG_019",1,1,0,1,"model_3"
"8","MAG_021",6.02739793050788,27.066169137855,"MAG_021",1,1,0,1,"model_3"
"9","MAG_024",2.87302625986409,27.5518179598481,"MAG_024",1,1,0,1,"model_3"
"10","MAG_026",-21.0370767441934,-14.7276660972457,"MAG_026",1,1,0,1,"model_2"
"11","MAG_027",15.3163113694169,21.8608726725329,"MAG_027",1,0.6,0,1,"model_3"
"12","MAG_028",-13.7886122068644,-40.5769035743683,"MAG_028",1,1,0,1,"model_2"
"13","MAG_032",-8.89205148698242,35.3408794290443,"MAG_032",2,1,0,2,"model_3"
"14","MAG_033",0.582580972336123,-37.4092852300692,"MAG_033",3,1,0,3,"model_2"
"15","MAG_035",-18.3162133410446,30.4998658116998,"MAG_035",4,0.428571428571429,0.583333333333333,4,"model_3"
"16","MAG_036",0.365946564275434,26.9732446747704,"MAG_036",2,0.75,0,2,"model_3"
"17","MAG_039",10.1350699492609,34.0169721926326,"MAG_039",1,1,0,1,"model_3"
"18","MAG_041",-19.3754477984115,33.0122292564925,"MAG_041",2,1,0,2,"model_3"
"19","MAG_042",-3.39529893318748,32.311423086922,"MAG_042",2,1,0,2,"model_3"
"20","MAG_043",19.6623222104133,18.0560124304207,"MAG_043",11,0.647058823529412,2.08228715728716,11,"model_3"
"21","MAG_045",-0.511569607590553,-45.5532781907108,"MAG_045",3,1,0,3,"model_2"
"22","MAG_050",-9.15181762635305,-28.1444714439225,"MAG_050",1,0.666666666666667,0,1,"model_2"
"23","MAG_052",-8.88455570003434,-37.4393488495177,"MAG_052",1,1,0,1,"model_2"
"24","MAG_053",-0.720108620836592,22.2144930763073,"MAG_053",4,0.833333333333333,0,4,"model_3"
"25","MAG_054",-5.58747518259464,48.190498681288,"MAG_054",2,1,0,2,"model_3"
"26","MAG_056",24.3357110020107,8.42866286552623,"MAG_056",3,1,0,3,"model_3"
"27","MAG_057",-7.81298938393867,22.575210383337,"MAG_057",1,1,0,1,"model_3"
"28","MAG_058",19.8296947100505,5.55374258133087,"MAG_058",3,0.8,1,3,"model_3"
"29","MAG_059",7.77733605416276,50.9346960152454,"MAG_059",2,1,0,2,"model_3"
"30","MAG_060",2.91190799345204,19.5912936018245,"MAG_060",1,1,0,1,"model_3"
"31","MAG_062",14.3742276402259,3.40710530462135,"MAG_062",3,0.8,3,3,"model_3"
"32","MAG_064",-3.25211729847502,4.40117012581156,"MAG_064",2,1,0,2,"model_3"
"33","MAG_065",-7.74803532344625,29.0045923444065,"MAG_065",3,0.6,0,3,"model_3"
"34","MAG_066",-5.1022246755341,-38.5315016714629,"MAG_066",1,1,0,1,"model_2"
"35","MAG_067",-4.83003585501641,31.7480162611497,"MAG_067",19,0.846153846153846,8.78908036408036,19,"model_3"
"36","MAG_074",7.98637759417217,21.5041785605606,"MAG_074",13,0.6875,0,13,"model_3"
"37","MAG_078",-1.40625491695444,13.1973535253336,"MAG_078",2,1,1,2,"model_3"
"38","MAG_081",-2.88834524359051,40.8251303254151,"MAG_081",16,0.785714285714286,8.30960705960706,16,"model_3"
"39","MAG_084",-12.7729192540967,16.8088636464614,"MAG_084",2,0.6,5,2,"model_3"
"40","MAG_085",15.0845162367868,19.2983608847107,"MAG_085",2,1,1,2,"model_3"
"41","MAG_089",14.6885922386362,40.9926458156008,"MAG_089",1,1,0,1,"model_3"
