"Phylum","Label","Id","att1","att2","att3","att4","Class","Order","Family","Genus","Species","category","enrich","significant","color"
"Acidobacteriota","MAG_547",256,"MAG_547","Acidobacteriota",0.035565,"M34","Mor1","Mor1","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_303",144,"MAG_303","Acidobacteriota",0.399266,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_388",189,"MAG_388","Acidobacteriota",0.495955,"M23","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","PSRF01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_192",95,"MAG_192","Acidobacteriota",0.366915,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_282",129,"MAG_282","Acidobacteriota",0.237647,"M22","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_448",215,"MAG_448","Acidobacteriota",0.054376,"M24","Blastocatellia","UBA7656","UBA7656","JACQDB01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_344",166,"MAG_344","Acidobacteriota",0.252627,"M5","Thermoanaerobaculia","Gp7-AA8","Gp7-AA8","QHVT01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_307",147,"MAG_307","Acidobacteriota",0.313515,"M22","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_290",135,"MAG_290","Acidobacteriota",0.276688,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_310",150,"MAG_310","Acidobacteriota",0.421957,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_572",267,"MAG_572","Acidobacteriota",0.068662,"M38","Vicinamibacteria","Vicinamibacterales","Unassign","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_373",178,"MAG_373","Acidobacteriota",0.289499,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_300",142,"MAG_300","Acidobacteriota",0.461461,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_575",268,"MAG_575","Acidobacteriota",0.179792,"M23","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","PSRF01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_315",154,"MAG_315","Acidobacteriota",0.347164,"M7","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_587",272,"MAG_587","Acidobacteriota",0.085991,"M24","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_402",200,"MAG_402","Acidobacteriota",0.028573,"M35","Acidobacteriae","Bryobacterales","Bryobacteraceae","Unassign","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_365",174,"MAG_365","Acidobacteriota",0.129091,"M1","Acidobacteriae","Bryobacterales","Bryobacteraceae","JAFLBB01","Unassign","RS sig","RS","Y","#FDCDAC"
"Acidobacteriota","MAG_378",182,"MAG_378","Acidobacteriota",0.270865,"M22","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","OLB17","Unassign","RS sig","RS","Y","#FDCDAC"
