Id,Label,att1,att2,att3,att4
1,MAG_002,MAG_002,Proteobacteria,0.060763,M19
2,MAG_003,MAG_003,Patescibacteria,0.010056,M50
3,MAG_007,MAG_007,Bacteroidota,0.083715,M16
4,MAG_010,MAG_010,Verrucomicrobiota,0.227331,M21
5,MAG_012,MAG_012,Bacteroidota,0.310952,M50
6,MAG_014,MAG_014,Firmicutes,0.549302,M2
7,MAG_019,MAG_019,Myxococcota,0.182667,M58
8,MAG_021,MAG_021,Verrucomicrobiota,0.022614,M41
9,MAG_024,MAG_024,Proteobacteria,0.191246,M33
10,MAG_026,MAG_026,Myxococcota,0.023915,M44
11,MAG_027,MAG_027,Bacteroidota,0.02081,M23
12,MAG_028,MAG_028,Bacteroidota,0.063284,M44
13,MAG_032,MAG_032,Proteobacteria,0.107588,M29
14,MAG_033,MAG_033,Proteobacteria,0.69101,M17
15,MAG_035,MAG_035,Thermoproteota,0.164428,M4
16,MAG_036,MAG_036,Bacteroidota,0.0661,M18
17,MAG_050,MAG_050,Proteobacteria,0.017484,M26
18,MAG_052,MAG_052,Bacteroidota,0.067786,M40
19,MAG_053,MAG_053,Desulfobacterota_B,0.765911,M8
20,MAG_054,MAG_054,Proteobacteria,0.060499,M29
21,MAG_056,MAG_056,Proteobacteria,0.069891,M19
22,MAG_057,MAG_057,Myxococcota,0.175046,M58
23,MAG_058,MAG_058,Proteobacteria,0.050048,M11
24,MAG_059,MAG_059,Proteobacteria,0.135953,M29
25,MAG_060,MAG_060,Proteobacteria,0.107108,M60
26,MAG_062,MAG_062,Proteobacteria,0.098927,M11
27,MAG_064,MAG_064,Chloroflexota,2.188187,M32
28,MAG_039,MAG_039,Proteobacteria,0.014885,M43
29,MAG_041,MAG_041,Patescibacteria,0.003927,M28
30,MAG_042,MAG_042,Chloroflexota,1.091492,M32
31,MAG_043,MAG_043,Firmicutes,0.287419,M2
32,MAG_045,MAG_045,Verrucomicrobiota,0.306635,M21
33,MAG_065,MAG_065,Proteobacteria,0.121935,M6
34,MAG_066,MAG_066,Proteobacteria,0.055369,M65
35,MAG_067,MAG_067,Firmicutes,0.035555,M2
36,MAG_074,MAG_074,Firmicutes,0.005009,M2
37,MAG_078,MAG_078,Proteobacteria,0.311683,M25
38,MAG_081,MAG_081,Firmicutes,0.099264,M2
39,MAG_084,MAG_084,Proteobacteria,0.064125,M6
40,MAG_085,MAG_085,Proteobacteria,0.051529,M26
41,MAG_089,MAG_089,Proteobacteria,0.006844,M43
42,MAG_090,MAG_090,Bacteroidota,0.075329,M18
43,MAG_091,MAG_091,Proteobacteria,0.094086,M11
44,MAG_093,MAG_093,Proteobacteria,0.020534,M2
45,MAG_094,MAG_094,Proteobacteria,0.026564,M15
46,MAG_097,MAG_097,Proteobacteria,0.097508,M60
47,MAG_098,MAG_098,Bacteroidota,0.028597,M18
48,MAG_100,MAG_100,Proteobacteria,0.075036,M19
49,MAG_101,MAG_101,Proteobacteria,0.285515,M25
50,MAG_102,MAG_102,Firmicutes,1.175237,M2
51,MAG_103,MAG_103,Bacteroidota,0.094044,M18
52,MAG_105,MAG_105,Patescibacteria,0.003249,M42
53,MAG_106,MAG_106,Patescibacteria,0.006847,M28
54,MAG_108,MAG_108,Firmicutes,0.16145,M2
55,MAG_110,MAG_110,Bacteroidota,0.092469,M40
56,MAG_111,MAG_111,Firmicutes,0.064402,M2
57,MAG_113,MAG_113,Proteobacteria,0.367906,M25
58,MAG_116,MAG_116,Bacteroidota,0.080822,M47
59,MAG_118,MAG_118,Proteobacteria,0.061009,M26
60,MAG_119,MAG_119,Proteobacteria,0.01138,M52
61,MAG_124,MAG_124,Bacteroidota,0.15084,M16
62,MAG_130,MAG_130,Proteobacteria,0.046609,M15
63,MAG_131,MAG_131,Bacteroidota,0.002786,M41
64,MAG_132,MAG_132,Proteobacteria,0.05428,M62
65,MAG_135,MAG_135,Patescibacteria,0.045395,M20
66,MAG_136,MAG_136,Firmicutes,0.040511,M2
67,MAG_137,MAG_137,Proteobacteria,0.093338,M6
68,MAG_139,MAG_139,Proteobacteria,0.002708,M52
69,MAG_142,MAG_142,Firmicutes,0.106374,M2
70,MAG_143,MAG_143,Myxococcota,0.184765,M61
71,MAG_146,MAG_146,Firmicutes,0.229945,M2
72,MAG_147,MAG_147,Firmicutes,0.09009,M2
73,MAG_148,MAG_148,Firmicutes,0.068456,M2
74,MAG_149,MAG_149,Bacteroidota,0.10191,M16
75,MAG_154,MAG_154,Patescibacteria,0.035414,M20
76,MAG_156,MAG_156,Myxococcota,0.185359,M61
77,MAG_159,MAG_159,Firmicutes,0.213252,M2
78,MAG_163,MAG_163,Proteobacteria,0.065375,M65
79,MAG_166,MAG_166,Proteobacteria,0.064326,M49
80,MAG_169,MAG_169,Proteobacteria,0.036991,M62
81,MAG_171,MAG_171,Desulfobacterota_B,0.339335,M8
82,MAG_172,MAG_172,Proteobacteria,0.086961,M11
83,MAG_175,MAG_175,Patescibacteria,0.029798,M20
84,MAG_177,MAG_177,Proteobacteria,0.055543,M6
85,MAG_178,MAG_178,Proteobacteria,0.029471,M15
86,MAG_179,MAG_179,Proteobacteria,0.53809,M17
87,MAG_180,MAG_180,Proteobacteria,0.188897,M6
88,MAG_183,MAG_183,Firmicutes,0.037506,M2
89,MAG_185,MAG_185,Proteobacteria,0.096651,M49
90,MAG_186,MAG_186,Proteobacteria,0.12844,M6
91,MAG_187,MAG_187,Proteobacteria,0.041027,M15
92,MAG_189,MAG_189,Patescibacteria,0.003755,M42
93,MAG_190,MAG_190,Patescibacteria,0.034725,M20
94,MAG_191,MAG_191,Proteobacteria,0.077316,M19
95,MAG_192,MAG_192,Acidobacteriota,0.366915,M7
96,MAG_193,MAG_193,Actinobacteriota,0.251589,M9
97,MAG_196,MAG_196,Verrucomicrobiota,0.221267,M21
98,MAG_197,MAG_197,Proteobacteria,0.846944,M17
99,MAG_199,MAG_199,Actinobacteriota,0.161969,M45
100,MAG_200,MAG_200,Chloroflexota,3.864525,M66
101,MAG_201,MAG_201,Methylomirabilota,0.880964,M64
102,MAG_205,MAG_205,Chloroflexota,2.480033,M32
103,MAG_206,MAG_206,Bacteroidota,0.08801,M10
104,MAG_207,MAG_207,Actinobacteriota,0.296501,M9
105,MAG_208,MAG_208,Nitrospirota,0.73998,M36
106,MAG_209,MAG_209,Bacteroidota,0.536766,M1
107,MAG_210,MAG_210,Bacteroidota,0.371176,M10
108,MAG_211,MAG_211,Bacteroidota,0.173486,M13
109,MAG_215,MAG_215,Firmicutes,0.388543,M2
110,MAG_217,MAG_217,Gemmatimonadota,0.037545,M34
111,MAG_226,MAG_226,Acidobacteriota,0.124789,M51
112,MAG_229,MAG_229,Desulfobacterota_B,0.067509,M8
113,MAG_230,MAG_230,Chloroflexota,0.062693,M4
114,MAG_236,MAG_236,Tectomicrobia,0.027026,M4
115,MAG_242,MAG_242,Actinobacteriota,0.100568,M37
116,MAG_243,MAG_243,Proteobacteria,0.315949,M57
117,MAG_246,MAG_246,Verrucomicrobiota,0.103843,M13
118,MAG_251,MAG_251,Proteobacteria,0.154993,M1
119,MAG_253,MAG_253,Chloroflexota,0.064788,M3
120,MAG_257,MAG_257,Actinobacteriota,0.166903,M3
121,MAG_258,MAG_258,Thermoproteota,0.062925,M27
122,MAG_260,MAG_260,Actinobacteriota,0.114659,M3
123,MAG_263,MAG_263,Proteobacteria,0.009832,M33
124,MAG_272,MAG_272,Proteobacteria,0.235271,M31
125,MAG_273,MAG_273,Firmicutes,0.121715,M2
126,MAG_274,MAG_274,Firmicutes,0.02654,M2
127,MAG_275,MAG_275,Chloroflexota,3.092685,M66
128,MAG_280,MAG_280,Nitrospirota,0.756903,M36
129,MAG_282,MAG_282,Acidobacteriota,0.237647,M22
130,MAG_284,MAG_284,Proteobacteria,0.04959,M11
131,MAG_285,MAG_285,Thermoproteota,0.229509,M4
132,MAG_286,MAG_286,Actinobacteriota,0.248351,M9
133,MAG_288,MAG_288,Chloroflexota,0.563606,M67
134,MAG_289,MAG_289,Thermoproteota,0.23619,M46
135,MAG_290,MAG_290,Acidobacteriota,0.276688,M7
136,MAG_291,MAG_291,Planctomycetota,0.79268,M56
137,MAG_292,MAG_292,Firmicutes,0.075276,M2
138,MAG_293,MAG_293,Actinobacteriota,0.278574,M9
139,MAG_294,MAG_294,Firmicutes,0.094237,M2
140,MAG_298,MAG_298,Proteobacteria,0.186252,M6
141,MAG_299,MAG_299,Acidobacteriota,0.192994,M59
142,MAG_300,MAG_300,Acidobacteriota,0.461461,M7
143,MAG_301,MAG_301,Proteobacteria,0.241829,M1
144,MAG_303,MAG_303,Acidobacteriota,0.399266,M7
145,MAG_304,MAG_304,Actinobacteriota,0.368257,M3
146,MAG_306,MAG_306,Proteobacteria,0.258503,M31
147,MAG_307,MAG_307,Acidobacteriota,0.313515,M22
148,MAG_308,MAG_308,Desulfobacterota_B,0.756607,M8
149,MAG_309,MAG_309,Planctomycetota,0.79928,M56
150,MAG_310,MAG_310,Acidobacteriota,0.421957,M7
151,MAG_312,MAG_312,Acidobacteriota,0.380916,M22
152,MAG_313,MAG_313,Thermoproteota,0.232093,M4
153,MAG_314,MAG_314,Chloroflexota,0.372905,M67
154,MAG_315,MAG_315,Acidobacteriota,0.347164,M7
155,MAG_316,MAG_316,Actinobacteriota,0.269998,M9
156,MAG_317,MAG_317,Verrucomicrobiota,0.188325,M21
157,MAG_318,MAG_318,Firmicutes,0.385999,M2
158,MAG_320,MAG_320,Proteobacteria,0.125573,M1
159,MAG_324,MAG_324,Actinobacteriota,0.053496,M4
160,MAG_331,MAG_331,Thermoproteota,0.00571,M4
161,MAG_336,MAG_336,Actinobacteriota,0.152001,M3
162,MAG_338,MAG_338,Chloroflexota,0.010706,M39
163,MAG_339,MAG_339,Planctomycetota,0.18115,M1
164,MAG_340,MAG_340,Actinobacteriota,0.051609,M4
165,MAG_343,MAG_343,Chloroflexota,0.073536,M1
166,MAG_344,MAG_344,Acidobacteriota,0.252627,M5
167,MAG_347,MAG_347,Gemmatimonadota,0.141947,M5
168,MAG_349,MAG_349,Proteobacteria,0.150098,M31
169,MAG_352,MAG_352,Actinobacteriota,0.030762,M55
170,MAG_354,MAG_354,Gemmatimonadota,0.045711,M30
171,MAG_355,MAG_355,Gemmatimonadota,0.035047,M1
172,MAG_361,MAG_361,Methylomirabilota,0.540914,M12
173,MAG_362,MAG_362,Bacteroidota,0.09519,M1
174,MAG_365,MAG_365,Acidobacteriota,0.129091,M1
175,MAG_367,MAG_367,Actinobacteriota,0.283482,M3
176,MAG_368,MAG_368,Actinobacteriota,0.448849,M3
177,MAG_370,MAG_370,Acidobacteriota,1.711747,M23
178,MAG_373,MAG_373,Acidobacteriota,0.289499,M7
179,MAG_374,MAG_374,Acidobacteriota,0.708382,M5
180,MAG_376,MAG_376,Actinobacteriota,0.387686,M9
181,MAG_377,MAG_377,Actinobacteriota,0.201882,M45
182,MAG_378,MAG_378,Acidobacteriota,0.270865,M22
183,MAG_380,MAG_380,Patescibacteria,0.01515,M28
184,MAG_381,MAG_381,Actinobacteriota,0.030263,M4
185,MAG_382,MAG_382,Actinobacteriota,0.06688,M3
186,MAG_383,MAG_383,Myxococcota_A,0.150779,M30
187,MAG_384,MAG_384,Gemmatimonadota,0.103571,M5
188,MAG_387,MAG_387,Actinobacteriota,0.21082,M3
189,MAG_388,MAG_388,Acidobacteriota,0.495955,M23
190,MAG_390,MAG_390,Planctomycetota,0.192023,M1
191,MAG_391,MAG_391,Verrucomicrobiota,0.045402,M63
192,MAG_392,MAG_392,Proteobacteria,0.013398,M1
193,MAG_393,MAG_393,Actinobacteriota,0.068574,M3
194,MAG_394,MAG_394,Planctomycetota,0.256072,M10
195,MAG_395,MAG_395,Planctomycetota,0.026729,M1
196,MAG_396,MAG_396,Acidobacteriota,0.234487,M59
197,MAG_398,MAG_398,Chloroflexota,0.029917,M4
198,MAG_400,MAG_400,Actinobacteriota,0.052321,M3
199,MAG_401,MAG_401,Actinobacteriota,0.030114,M3
200,MAG_402,MAG_402,Acidobacteriota,0.028573,M35
201,MAG_406,MAG_406,Actinobacteriota,0.082155,M3
202,MAG_410,MAG_410,Krumholzibacteriota,0.046501,M1
203,MAG_412,MAG_412,Gemmatimonadota,0.069011,M5
204,MAG_414,MAG_414,Bacteroidota,0.044548,M14
205,MAG_416,MAG_416,Verrucomicrobiota,0.020911,M13
206,MAG_418,MAG_418,Proteobacteria,0.247032,M5
207,MAG_419,MAG_419,Thermoproteota,0.042493,M27
208,MAG_421,MAG_421,Gemmatimonadota,0.116653,M5
209,MAG_427,MAG_427,Actinobacteriota,0.019655,M3
210,MAG_429,MAG_429,Methylomirabilota,0.661172,M64
211,MAG_431,MAG_431,Chloroflexota,0.019961,M4
212,MAG_435,MAG_435,Chloroflexota,0.001954,M1
213,MAG_438,MAG_438,Bacteroidota,0.023985,M1
214,MAG_444,MAG_444,Gemmatimonadota,0.037885,M39
215,MAG_448,MAG_448,Acidobacteriota,0.054376,M24
216,MAG_449,MAG_449,Chloroflexota,0.007233,M1
217,MAG_453,MAG_453,Bacteroidota,0.045397,M10
218,MAG_455,MAG_455,Actinobacteriota,0.139411,M3
219,MAG_459,MAG_459,Bacteroidota,0.049091,M16
220,MAG_464,MAG_464,Chloroflexota,0.070521,M3
221,MAG_465,MAG_465,Eisenbacteria,0.009488,M14
222,MAG_467,MAG_467,Acidobacteriota,0.23473,M35
223,MAG_472,MAG_472,Chloroflexota,0.079841,M3
224,MAG_474,MAG_474,Tectomicrobia,0.014627,M4
225,MAG_475,MAG_475,Proteobacteria,0.034608,M57
226,MAG_476,MAG_476,Actinobacteriota,0.059621,M54
227,MAG_478,MAG_478,Acidobacteriota,0.054842,M1
228,MAG_480,MAG_480,Gemmatimonadota,0.051926,M30
229,MAG_490,MAG_490,Actinobacteriota,0.011227,M55
230,MAG_493,MAG_493,Acidobacteriota,0.073729,M24
231,MAG_494,MAG_494,Bacteroidota,0.081218,M13
232,MAG_500,MAG_500,Verrucomicrobiota,0.022514,M2
233,MAG_502,MAG_502,Bacteroidota,0.001364,M10
234,MAG_507,MAG_507,Eisenbacteria,0.035906,M12
235,MAG_509,MAG_509,Gemmatimonadota,0.22661,M12
236,MAG_511,MAG_511,Proteobacteria,0.045272,M38
237,MAG_512,MAG_512,Thermoproteota,0.038103,M27
238,MAG_513,MAG_513,Acidobacteriota,0.038266,M1
239,MAG_516,MAG_516,Acidobacteriota,0.052001,M1
240,MAG_517,MAG_517,Eisenbacteria,0.028736,M1
