"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_002",6,0.212266987372219,677.333333333333,6,5.57888882999066e-06,1.20189580650187,"3",0,"Peripherals","","ultra peripheral"
"MAG_007",3,1,0,3,0,0,"23",0,"Peripherals","","ultra peripheral"
"MAG_008",1,0.149639677829589,0,1,1.90322905907201e-09,-1.4059913208135,"3",0,"Peripherals","","ultra peripheral"
"MAG_010",3,1,0,3,5.48799027468695e-18,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_012",2,0.175709308113489,0,2,1.03658165760241e-07,-0.884413895350429,"3",0,"Peripherals","","ultra peripheral"
"MAG_014",9,0.617647058823529,3.08867521367521,9,0,-0.501914077453251,"4",0,"Peripherals","","ultra peripheral"
"MAG_019",1,1,0,1,2.74399513734348e-18,0,"28",0.48,"Peripherals","","peripheral"
"MAG_021",3,0.175796812749004,352,3,1.03356762466881e-07,-0.362836469887356,"3",0,"Peripherals","","ultra peripheral"
"MAG_024",1,0.6,0,1,0,-1.22474487139159,"14",0.277777777777778,"Peripherals","","peripheral"
"MAG_026",1,1,0,1,0,0,"7",0,"Peripherals","","ultra peripheral"
"MAG_028",1,1,0,1,0,0,"7",0,"Peripherals","","ultra peripheral"
"MAG_032",2,1,0,2,2.74399513734348e-18,0,"27",0,"Peripherals","","ultra peripheral"
"MAG_033",63,0.41824644549763,285.946432517994,63,0.697193591848713,0.936473774786996,"1",0,"Peripherals","","ultra peripheral"
"MAG_034",3,0.175884404583956,526.5,3,1.03026584852983e-07,-0.362836469887356,"3",0,"Peripherals","","ultra peripheral"
"MAG_035",15,0.328372093023256,536.742470321419,15,0.0210191732181517,-0.759941818744489,"2",0.500266666666667,"Peripherals","","peripheral"
"MAG_036",3,0.228626943005181,0,3,0.000297213502971484,-0.770674635588453,"24",0.0338882282996433,"Peripherals","","ultra peripheral"
"MAG_037",1,0.149576271186441,0,1,1.87926525836246e-09,-1.4059913208135,"3",0,"Peripherals","","ultra peripheral"
"MAG_047",1,0.666666666666667,0,1,1.37199756867174e-18,-0.577350269189626,"8",0.244897959183674,"Peripherals","","peripheral"
"MAG_050",2,1,0,2,0,0,"21",0.135633551457466,"Peripherals","","peripheral"
"MAG_052",1,1,0,1,0,0,"19",0.483379501385042,"Peripherals","","peripheral"
"MAG_053",47,0.40296803652968,281.615937821081,47,0.1806869668933,0.779876972741404,"2",0.5,"Peripherals","","peripheral"
"MAG_054",2,1,0,2,0,0,"27",0,"Peripherals","","ultra peripheral"
"MAG_056",5,0.176059850374065,0,5,2.33441701151467e-07,0.680318381038792,"3",0,"Peripherals","","ultra peripheral"
"MAG_057",1,1,0,1,1.37199756867174e-18,0,"28",0,"Peripherals","","ultra peripheral"
"MAG_058",3,0.130886169818317,0,3,3.73713094379928e-11,-0.362836469887356,"3",0,"Peripherals","","ultra peripheral"
"MAG_059",2,1,0,2,0,0,"27",0,"Peripherals","","ultra peripheral"
"MAG_060",5,0.176059850374065,0,5,2.28980645184781e-07,0.680318381038792,"3",0,"Peripherals","","ultra peripheral"
"MAG_062",4,0.150404772049425,1050,4,1.87294104105766e-09,0.158740955575718,"3",0,"Peripherals","","ultra peripheral"
"MAG_064",20,0.362051282051282,10.9821896483824,20,0.068515111055289,-0.519345132574818,"2",0.418288818469896,"Peripherals","","peripheral"
"MAG_039",2,1,0,2,2.74399513734348e-18,0,"20",0.0768,"Peripherals","","peripheral"
"MAG_042",24,0.369246861924686,19.9881352827535,24,0.0813808676479938,-0.326867783639081,"2",0.0997229916897507,"Peripherals","","peripheral"
"MAG_043",9,0.617647058823529,3.08867521367521,9,2.19519610987478e-17,-0.501914077453251,"4",0,"Peripherals","","ultra peripheral"
"MAG_044",3,0.184913567312729,0,3,3.19418315742244e-06,-0.713878628826315,"31",0,"Peripherals","","ultra peripheral"
"MAG_045",3,1,0,3,0,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_065",10,0.290534979423868,1639.39523809524,10,0.00228358175964231,0.270408571525119,"31",0.2688,"Peripherals","","peripheral"
"MAG_066",1,1,0,1,1.37199756867174e-18,0,"32",0,"Peripherals","","ultra peripheral"
"MAG_067",14,0.75,10.0543345543346,14,0,0.812622792067169,"4",0,"Peripherals","","ultra peripheral"
"MAG_068",1,0.666666666666667,0,1,2.74399513734348e-18,-0.577350269189626,"8",0.444444444444444,"Peripherals","","peripheral"
"MAG_070",1,0.666666666666667,0,1,2.74399513734348e-18,-0.577350269189626,"9",0.110726643598616,"Peripherals","","peripheral"
"MAG_074",13,0.724137931034483,2.21413308913309,13,2.19519610987478e-17,0.549715418163085,"4",0,"Peripherals","","ultra peripheral"
"MAG_078",4,0.213035606517803,43.3333333333333,4,6.21129120332487e-06,0.158740955575718,"3",0,"Peripherals","","ultra peripheral"
"MAG_079",1,0.5,0,1,5.48799027468695e-18,-0.866025403784439,"10",0.0289792387543253,"Peripherals","","ultra peripheral"
"MAG_080",3,0.211757648470306,0,3,5.80408469577136e-06,-0.362836469887356,"3",0,"Peripherals","","ultra peripheral"
"MAG_081",9,0.617647058823529,1.62692307692308,9,1.09759805493739e-17,-0.501914077453251,"4",0,"Peripherals","","ultra peripheral"
"MAG_084",7,0.226427196921103,4.7047619047619,7,0.000179975297230747,-0.151428800054067,"31",0,"Peripherals","","ultra peripheral"
"MAG_085",2,1,0,2,0,0,"21",0.2688,"Peripherals","","peripheral"
"MAG_089",2,1,0,2,0,0,"20",0,"Peripherals","","ultra peripheral"
"MAG_090",6,0.295644891122278,291.833333333333,6,0.00523969307947685,0.880771012101088,"24",0.336062655749377,"Peripherals","","peripheral"
"MAG_091",3,0.130886169818317,0,3,3.72511279389675e-11,-0.362836469887356,"3",0.433358528596624,"Peripherals","","peripheral"
"MAG_093",1,0.42,0,1,1.37199756867174e-18,-2.60517306868592,"4",0,"Peripherals","","ultra peripheral"
"MAG_094",6,0.226282051282051,175.985714285714,6,8.53165323634641e-05,-0.292041257247129,"31",0.391111111111111,"Peripherals","","peripheral"
"MAG_095",1,0.666666666666667,0,1,0,-0.577350269189626,"9",0.158790170132325,"Peripherals","","peripheral"
"MAG_097",5,0.176059850374065,0,5,2.26721350007057e-07,0.680318381038792,"3",0,"Peripherals","","ultra peripheral"
"MAG_098",5,0.295397489539749,116.333333333335,5,0.00523001344740059,0.330289129537908,"24",0,"Peripherals","","ultra peripheral"
"MAG_100",5,0.176059850374065,0,5,2.33591260581359e-07,0.680318381038792,"3",0.124444444444444,"Peripherals","","peripheral"
"MAG_101",6,0.266415094339623,7349.16666666667,6,0.000302322803434144,1.20189580650187,"3",0,"Peripherals","","ultra peripheral"
"MAG_102",9,0.6,3,9,1.09759805493739e-17,-0.501914077453251,"4",0,"Peripherals","","ultra peripheral"
"MAG_103",6,0.295644891122278,291.833333333333,6,0.00522439172112327,0.880771012101088,"24",0.149013878743608,"Peripherals","","peripheral"
"MAG_106",1,1,0,1,0,0,"15",0.49963476990504,"Peripherals","","peripheral"
"MAG_108",8,0.6,0.676923076923077,8,0,-0.764821451357335,"4",0,"Peripherals","","ultra peripheral"
"MAG_110",1,1,0,1,0,0,"19",0,"Peripherals","","ultra peripheral"
"MAG_111",12,0.7,0.961385836385836,12,0,0.286808044259001,"4",0,"Peripherals","","ultra peripheral"
"MAG_113",7,0.212778782399036,2777,7,5.62881994997605e-06,1.72347323196494,"3",0,"Peripherals","","ultra peripheral"
"MAG_118",2,1,0,2,5.48799027468695e-18,0,"21",0.0499671268902038,"Peripherals","","ultra peripheral"
"MAG_119",2,0.75,2,2,0,0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
"MAG_122",2,1,0,2,2.74399513734348e-18,0,"20",0.444444444444444,"Peripherals","","peripheral"
"MAG_124",3,1,0,3,0,0,"23",0,"Peripherals","","ultra peripheral"
"MAG_126",3,0.175884404583956,526.5,3,1.00705381961926e-07,-0.362836469887356,"3",0,"Peripherals","","ultra peripheral"
"MAG_128",2,1,1,2,0,1.15470053837925,"11",0.267673102046741,"Peripherals","","peripheral"
"MAG_130",4,0.225847728726807,0,4,4.48274463995889e-05,-0.573266171633253,"31",0,"Peripherals","","ultra peripheral"
"MAG_132",1,1,0,1,0,0,"25",0.485680473372781,"Peripherals","","peripheral"
"MAG_133",2,0.75,2,2,0,0.866025403784439,"10",0.603537981269511,"Peripherals","","peripheral"
"MAG_135",2,0.149893842887473,2,2,3.69177629332464e-09,-0.884413895350429,"3",0,"Peripherals","","ultra peripheral"
"MAG_136",13,0.724137931034483,2.21413308913309,13,2.19519610987478e-17,0.549715418163085,"4",0,"Peripherals","","ultra peripheral"
"MAG_137",7,0.289581624282199,285.485714285714,7,0.00230131838247924,-0.151428800054067,"31",0.0370238519045923,"Peripherals","","ultra peripheral"
"MAG_139",1,0.5,0,1,0,-0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
"MAG_142",9,0.617647058823529,1.62692307692308,9,1.09759805493739e-17,-0.501914077453251,"4",0,"Peripherals","","ultra peripheral"
"MAG_143",2,1,1,2,0,1.15470053837925,"13",0.0886965927528394,"Peripherals","","peripheral"
"MAG_146",8,0.6,0.826923076923077,8,1.09759805493739e-17,-0.764821451357335,"4",0,"Peripherals","","ultra peripheral"
"MAG_147",12,0.7,0.961385836385836,12,0,0.286808044259001,"4",0,"Peripherals","","ultra peripheral"
"MAG_148",6,0.552631578947368,0.2,6,1.09759805493739e-17,-1.2906361991655,"4",0,"Peripherals","","ultra peripheral"
"MAG_149",3,1,0,3,0,0,"23",0,"Peripherals","","ultra peripheral"
"MAG_154",2,1,0,2,2.74399513734348e-18,0,"22",0.104938271604938,"Peripherals","","peripheral"
"MAG_156",1,0.666666666666667,0,1,0,-0.577350269189626,"13",0.42,"Peripherals","","peripheral"
"MAG_159",10,0.636363636363636,5.11538461538461,10,0,-0.239006703549167,"4",0,"Peripherals","","ultra peripheral"
"MAG_161",2,0.228478964401295,0,2,0.000189275887691711,-1.32115651815163,"24",0,"Peripherals","","ultra peripheral"
"MAG_163",1,1,0,1,0,0,"32",0.03076171875,"Peripherals","","ultra peripheral"
"MAG_166",2,0.75,0,2,0,0,"14",0,"Peripherals","","ultra peripheral"
"MAG_169",1,1,0,1,0,0,"25",0.232302201070791,"Peripherals","","peripheral"
"MAG_170",2,1,1,2,2.74399513734348e-18,1.15470053837925,"9",0.027391975308642,"Peripherals","","ultra peripheral"
"MAG_171",34,0.379569892473118,37.3361569966217,34,0.144168069412802,0.15432558870026,"2",0.201481481481481,"Peripherals","","peripheral"
"MAG_172",2,0.176411794102949,1396,2,1.02962519242666e-07,-0.884413895350429,"3",0,"Peripherals","","ultra peripheral"
"MAG_174",1,1,0,1,1.37199756867174e-18,0,"18",0,"Peripherals","","ultra peripheral"
"MAG_175",2,1,0,2,0,0,"22",0.478271604938272,"Peripherals","","peripheral"
"MAG_177",5,0.225703324808184,0,5,0.000132094388653351,-0.432653714440191,"31",0,"Peripherals","","ultra peripheral"
"MAG_178",5,0.225992317541613,86.7666666666667,5,4.44649153155105e-05,-0.432653714440191,"31",0.207612456747405,"Peripherals","","peripheral"
"MAG_179",54,0.413348946135831,218.733385758854,54,0.591566762621383,0.523513783997992,"1",0,"Peripherals","","ultra peripheral"
"MAG_180",8,0.290057518488085,546.204761904765,8,0.00229859207947949,-0.0108163428610047,"31",0,"Peripherals","","ultra peripheral"
"MAG_183",18,0.875,29.071978021978,18,6.58558832962434e-17,1.86425228768351,"4",0,"Peripherals","","ultra peripheral"
"MAG_185",2,0.75,0,2,0,0,"14",0.444444444444444,"Peripherals","","peripheral"
"MAG_186",7,0.289581624282199,285.485714285714,7,0.00229455433652202,-0.151428800054067,"31",0.399524375743163,"Peripherals","","peripheral"
"MAG_187",6,0.226282051282051,90.4857142857143,6,4.74028416794608e-05,-0.292041257247129,"31",0,"Peripherals","","ultra peripheral"
"MAG_190",2,1,0,2,0,0,"22",0.0984989036937088,"Peripherals","","peripheral"
"MAG_191",8,0.213035606517803,2435.16666666667,8,5.76465856228021e-06,2.24505065742801,"3",0.0416478044363966,"Peripherals","","ultra peripheral"
"MAG_192",19,0.360204081632653,109.327272421589,19,0.051641308225606,-0.567464469808752,"2",0,"Peripherals","","ultra peripheral"
"MAG_193",10,0.300937766410912,27.9943210689287,10,0.0051664832717484,0.718243006142779,"30",0,"Peripherals","","ultra peripheral"
"MAG_195",33,0.371188222923239,73.2919697633589,33,0.371843490258914,-0.440059527843018,"1",0,"Peripherals","","ultra peripheral"
"MAG_196",3,1,0,3,0,0,"29",0,"Peripherals","","ultra peripheral"
"MAG_197",63,0.417751479289941,241.405018405452,63,0.714898806738198,0.936473774786996,"1",0,"Peripherals","","ultra peripheral"
"MAG_199",4,0.245993031358885,33.2951963311381,4,0.000188591591749702,-1.292837411057,"30",0,"Peripherals","","ultra peripheral"
"MAG_200",14,0.336190476190476,69.7474606198178,14,0.0439616723060494,-1.31186395284203,"1",0,"Peripherals","","ultra peripheral"
"MAG_201",48,0.416765053128689,245.546804144912,48,0.471546681442364,0.248207123471989,"1",0,"Peripherals","","ultra peripheral"
"MAG_205",26,0.375931842385517,27.4540150768014,26,0.0935579022549871,-0.230629109171213,"2",0,"Peripherals","","ultra peripheral"
"MAG_207",9,0.297388374052233,1.7573539130345,9,0.00508965332359828,0.383062936609482,"30",0,"Peripherals","","ultra peripheral"
"MAG_208",2,0.278830963665087,0,2,0.00164825714374107,-1.38549320278563,"2",0.0416478044363966,"Peripherals","","ultra peripheral"
"MAG_209",12,0.311287477954145,20.5787433281534,12,0.0151401911763598,-0.904299830446291,"2",0.42,"Peripherals","","peripheral"
"MAG_210",12,0.303264604810997,884.507003876411,12,0.0092663082035559,-0.904299830446291,"2",0,"Peripherals","","ultra peripheral"
"MAG_211",31,0.343719571567673,273.215927510349,31,0.0579319131992419,0.00996757699845771,"2",0.244897959183674,"Peripherals","","peripheral"
"MAG_212",70,0.425301204819277,1308.60759698659,70,0.222461733307795,1.88662172912189,"2",0.060546875,"Peripherals","","peripheral"
"MAG_203",14,0.345739471106758,1.20912362937121,14,0.0602682288698589,-0.808061155978423,"2",0.22789572695512,"Peripherals","","peripheral"
"MAG_215",12,0.7,0.957875457875458,12,2.19519610987478e-17,0.286808044259001,"4",0.444444444444444,"Peripherals","","peripheral"
"MAG_216",63,0.404816513761468,341.19984551562,63,0.219200022448734,1.54978636848435,"2",0,"Peripherals","","ultra peripheral"
"MAG_217",21,0.335232668566002,4.41222018808257,21,0.264675767559164,-0.990672848895024,"1",0,"Peripherals","","ultra peripheral"
"MAG_218",17,0.379569892473118,61.7086436878496,17,0.134795261236428,-0.663703144276621,"2",0.329861111111111,"Peripherals","","peripheral"
"MAG_219",3,0.303525365434222,0,3,0.0042402965148831,-1.3373738655517,"2",0.444444444444444,"Peripherals","","peripheral"
"MAG_220",3,0.242445054945055,0.942869875222816,3,0.000225336063829523,-1.6280174805903,"30",0.455807158509861,"Peripherals","","peripheral"
"MAG_221",45,0.402508551881414,964.382217934425,45,0.189754367878126,0.110553793208988,"1",0,"Peripherals","","ultra peripheral"
"MAG_222",18,0.329598506069094,52.1392992507264,18,0.0252796892483628,-0.615583807042686,"2",0,"Peripherals","","ultra peripheral"
"MAG_226",33,0.370020964360587,124.162258381472,33,0.350881284389214,-0.440059527843018,"1",0,"Peripherals","","ultra peripheral"
"MAG_227",27,0.361310133060389,195.823000688731,27,0.0807856410745865,-0.182509771937279,"2",0.297520661157025,"Peripherals","","peripheral"
"MAG_228",26,0.344054580896686,16.9740804268102,26,0.283000542154045,-0.761250631790022,"1",0,"Peripherals","","ultra peripheral"
