"name","degree","betweenness_centrality","closeness_centrality","eigenvector_centrality","Abundance","module","z","p","taxa_roles","Phylum","Class","Order","Family","Genus","Species","category"
"MAG_002",6,1368,0.000662233630561055,5.57888882999928e-06,0.306980895374685,"M3",1.25319802421508,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Variovorax","Unassign","RP sig"
"MAG_007",3,0,0.344709538105019,5.82074341707709e-18,0.130885672534921,"M11",NA,NA,NA,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","JACDAZ01","Unassign","RP sig"
"MAG_008",1,0,0.000464634565446706,1.90322906261884e-09,0.0949294568951719,"M3",-1.41564961994667,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Chryseolinea","Unassign","RP sig"
"MAG_010",3,0,0.339629495096259,1.74296881797632e-17,0.183623896081258,"M12",NA,NA,NA,"Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Luteolibacter","Unassign","RS sig"
"MAG_012",2,0,0.000548682194470575,1.0365816577232e-07,0.57227097445938,"M3",-0.881880091114319,0,"Peripheral nodes","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Unassign","RP sig"
"MAG_014",9,4,0.0318798647845613,3.34117918649055e-17,0.895653907872991,"M4",-0.501914077453251,0,"Peripheral nodes","Firmicutes","Bacilli","Bacillales_B","DSM-1321","Peribacillus","Peribacillus frigoritolerans","RP sig"
"MAG_019",1,0,1.00956347370045,7.32783446319068e-18,0.416536241099884,"M30",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","Unassign","Unassign","RP sig"
"MAG_021",3,352,0.000549283807767956,1.0335676248107e-07,0.0464707318990147,"M3",-0.348110562281968,0,"Peripheral nodes","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","Unassign","RP sig"
"MAG_024",1,0,0.216843918762217,3.55712546137637e-18,0.299615275050846,"M10",-1.22474487139159,0,"Peripheral nodes","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Unassign","RP sig"
"MAG_026",1,0,1.10576110829532,5.09264249832448e-18,0.0520432082316022,"M32",NA,NA,NA,"Myxococcota","Polyangia","Polyangiales","Polyangiaceae","PMG-095","Unassign","RP"
"MAG_028",1,0,1.10576110829532,6.40358543258005e-18,0.104833110513236,"M32",NA,NA,NA,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ohtaekwangia","Unassign","RP sig"
"MAG_032",2,0,0.506500541711809,6.26695347762847e-18,0.19688211161711,"M19",NA,NA,NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Pelomonas","Unassign","RP sig"
