"","ASV","X1","X2","elements","Degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","Group"
"1","MAG_002",8.67300047310416,-31.4692198605503,"MAG_002",6,0.212266987372219,677.333333333333,6,"model_1"
"2","MAG_007",8.83993844181558,-23.9824770856757,"MAG_007",3,1,0,3,"model_1"
"3","MAG_008",7.27931258254764,-22.8533453390898,"MAG_008",1,0.149639677829589,0,1,"model_1"
"4","MAG_010",-9.45668126471328,24.9425017378546,"MAG_010",3,1,0,3,"model_2"
"5","MAG_012",8.76263777965184,-21.8783123588571,"MAG_012",2,0.175709308113489,0,2,"model_1"
"6","MAG_014",-7.03630236086627,27.3016208916345,"MAG_014",9,0.617647058823529,3.08867521367521,9,"model_2"
"7","MAG_019",7.88574516934234,-20.334938683142,"MAG_019",1,1,0,1,"model_1"
"8","MAG_021",6.14356340313859,-19.2366944878496,"MAG_021",3,0.175796812749004,352,3,"model_1"
"9","MAG_024",2.35532904247631,-20.86268710878,"MAG_024",1,0.6,0,1,"model_1"
"10","MAG_026",1.75520906292256,-28.6931308684797,"MAG_026",1,1,0,1,"model_1"
"11","MAG_028",11.081308853194,-29.3956276972417,"MAG_028",1,1,0,1,"model_1"
"12","MAG_032",-1.76196687799787,-26.2765139276589,"MAG_032",2,1,0,2,"model_1"
"13","MAG_033",3.56323565577701,-18.6620400654741,"MAG_033",63,0.41824644549763,285.946432517994,63,"model_1"
"14","MAG_034",0.161653285652948,-21.3925402073493,"MAG_034",3,0.175884404583956,526.5,3,"model_1"
"15","MAG_035",-10.5004621241921,28.1571867069709,"MAG_035",15,0.328372093023256,536.742470321419,15,"model_2"
"16","MAG_036",-8.21640784983031,29.9643311974033,"MAG_036",3,0.228626943005181,0,3,"model_2"
"17","MAG_037",13.9576382007445,-23.5855315961712,"MAG_037",1,0.149576271186441,0,1,"model_1"
"18","MAG_039",-5.33799007109701,22.3886648055306,"MAG_039",2,1,0,2,"model_2"
"19","MAG_042",-8.73332133854373,21.640922062837,"MAG_042",24,0.369246861924686,19.9881352827535,24,"model_2"
"20","MAG_043",-7.50562057595855,31.7546588280524,"MAG_043",9,0.617647058823529,3.08867521367521,9,"model_2"
"21","MAG_044",-10.3300713207048,31.3186991413377,"MAG_044",3,0.184913567312729,0,3,"model_2"
"22","MAG_045",-2.652350292455,25.0766333530299,"MAG_045",3,1,0,3,"model_2"
"23","MAG_047",5.46761596669118,-32.6344653421765,"MAG_047",1,0.666666666666667,0,1,"model_1"
"24","MAG_050",0.469528937221432,-32.4545373912173,"MAG_050",2,1,0,2,"model_1"
"25","MAG_052",12.0428244722865,-19.1740888776882,"MAG_052",1,1,0,1,"model_1"
"26","MAG_053",-5.42674557867556,30.3832958566261,"MAG_053",47,0.40296803652968,281.615937821081,47,"model_2"
"27","MAG_054",1.07620310672757,-19.0034414357629,"MAG_054",2,1,0,2,"model_1"
"28","MAG_056",5.4502471153574,-16.8106873869247,"MAG_056",5,0.176059850374065,0,5,"model_1"
"29","MAG_057",-0.416299841645898,-19.8017043104941,"MAG_057",1,1,0,1,"model_1"
"30","MAG_058",13.2528277289404,-28.7812467547734,"MAG_058",3,0.130886169818317,0,3,"model_1"
"31","MAG_059",-2.20058791902037,-22.5282779384114,"MAG_059",2,1,0,2,"model_1"
"32","MAG_060",7.46810022035198,-15.1028853387869,"MAG_060",5,0.176059850374065,0,5,"model_1"
"33","MAG_062",3.24401470267789,-33.5104998024219,"MAG_062",4,0.150404772049425,1050,4,"model_1"
"34","MAG_064",-4.90689869667469,25.1764788595307,"MAG_064",20,0.362051282051282,10.9821896483824,20,"model_2"
"35","MAG_065",-2.78201117063019,30.0185053068956,"MAG_065",10,0.290534979423868,1639.39523809524,10,"model_2"
"36","MAG_066",13.2788237782855,-29.9093263678562,"MAG_066",1,1,0,1,"model_1"
"37","MAG_067",-12.2257354863723,25.6472739706947,"MAG_067",14,0.75,10.0543345543346,14,"model_2"
"38","MAG_068",15.509563862133,-28.7912565167071,"MAG_068",1,0.666666666666667,0,1,"model_1"
"39","MAG_070",-8.72075233845624,32.7890348010357,"MAG_070",1,0.666666666666667,0,1,"model_2"
"40","MAG_074",-12.1604577340907,30.1348578865668,"MAG_074",13,0.724137931034483,2.21413308913309,13,"model_2"
"41","MAG_078",1.48289357055617,-35.1261394017302,"MAG_078",4,0.213035606517803,43.3333333333333,4,"model_1"
"42","MAG_079",-13.0103972823309,27.5513862270886,"MAG_079",1,0.5,0,1,"model_2"
"43","MAG_080",13.843335523665,-31.3436289075996,"MAG_080",3,0.211757648470306,0,3,"model_1"
"44","MAG_081",-4.60812041013586,35.6967348656491,"MAG_081",9,0.617647058823529,1.62692307692308,9,"model_2"
"45","MAG_084",-2.35714299482963,-19.6578621462859,"MAG_084",7,0.226427196921103,4.7047619047619,7,"model_1"
"46","MAG_085",-3.46430351030511,-28.9460164822322,"MAG_085",2,1,0,2,"model_1"
"47","MAG_089",-10.6386800413581,34.3777169530628,"MAG_089",2,1,0,2,"model_2"
"48","MAG_090",-0.529603239429319,23.978551431801,"MAG_090",6,0.295644891122278,291.833333333333,6,"model_2"
"49","MAG_091",16.3380151153735,-31.9735252331577,"MAG_091",3,0.130886169818317,0,3,"model_1"
"50","MAG_093",-1.22291144874262,22.0393089647832,"MAG_093",1,0.42,0,1,"model_2"
"51","MAG_094",-12.9622663316579,32.1618994529074,"MAG_094",6,0.226282051282051,175.985714285714,6,"model_2"
"52","MAG_095",-0.00903702048043797,33.0833189432472,"MAG_095",1,0.666666666666667,0,1,"model_2"
"53","MAG_097",-1.44650635832562,-16.9312273655165,"MAG_097",5,0.176059850374065,0,5,"model_1"
"54","MAG_098",-14.7895046573754,26.2917944333445,"MAG_098",5,0.295397489539749,116.333333333335,5,"model_2"
"55","MAG_100",18.4456180250057,-27.1063997752756,"MAG_100",5,0.176059850374065,0,5,"model_1"
"56","MAG_101",-2.41657280657644,-31.7214713003117,"MAG_101",6,0.266415094339623,7349.16666666667,6,"model_1"
"57","MAG_102",-11.2442995028046,20.1652311073401,"MAG_102",9,0.6,3,9,"model_2"
"58","MAG_103",15.8707270120433,-22.8230167969249,"MAG_103",6,0.295644891122278,291.833333333333,6,"model_1"
"59","MAG_106",9.77227465689565,-13.0672995555557,"MAG_106",1,1,0,1,"model_1"
"60","MAG_108",-5.59927049803404,20.147082616832,"MAG_108",8,0.6,0.676923076923077,8,"model_2"
"61","MAG_110",5.22304239739805,-13.7071653236861,"MAG_110",1,1,0,1,"model_1"
"62","MAG_111",-12.879055760252,34.1062859150776,"MAG_111",12,0.7,0.961385836385836,12,"model_2"
"63","MAG_113",3.39459940016937,-36.7728266062909,"MAG_113",7,0.212778782399036,2777,7,"model_1"
"64","MAG_118",17.5106694276935,-21.0214031659439,"MAG_118",2,1,0,2,"model_1"
"65","MAG_119",-7.41503286096086,19.2145967966605,"MAG_119",2,0.75,2,2,"model_2"
"66","MAG_122",11.8903364059228,-36.3933864549635,"MAG_122",2,1,0,2,"model_1"
"67","MAG_124",-0.99340564867181,-36.3319397041196,"MAG_124",3,1,0,3,"model_1"
"68","MAG_126",17.326215390341,-18.5050219077191,"MAG_126",3,0.175884404583956,526.5,3,"model_1"
"69","MAG_128",-3.24643343566593,-17.9267569428678,"MAG_128",2,1,1,2,"model_1"
"70","MAG_130",-16.7406256701583,28.0754552145573,"MAG_130",4,0.225847728726807,0,4,"model_2"
"71","MAG_132",4.4359892014683,-38.5495778271254,"MAG_132",1,1,0,1,"model_1"
"72","MAG_133",-5.44354883629379,38.670071950527,"MAG_133",2,0.75,2,2,"model_2"
"73","MAG_135",6.96073028933402,-11.5702392644574,"MAG_135",2,0.149893842887473,2,2,"model_1"
"74","MAG_136",0.832278162550385,25.194554480499,"MAG_136",13,0.724137931034483,2.21413308913309,13,"model_2"
"75","MAG_137",1.1508677134061,28.1380835719933,"MAG_137",7,0.289581624282199,285.485714285714,7,"model_2"
"76","MAG_139",-6.71901395949975,17.8392950206874,"MAG_139",1,0.5,0,1,"model_2"
