"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree","HubScore","z","module","p","roles","label","role_7"
"MAG_002",3,1,0,3,0,0,"51",0,"Peripherals","","ultra peripheral"
"MAG_003",1,1,0,1,0,0,"36",0,"Peripherals","","ultra peripheral"
"MAG_007",3,1,0,3,0,0,"40",0,"Peripherals","","ultra peripheral"
"MAG_010",3,1,0,3,0,0,"62",0,"Peripherals","","ultra peripheral"
"MAG_012",1,1,0,1,0,0,"36",0,"Peripherals","","ultra peripheral"
"MAG_014",11,0.647058823529412,2.08228715728716,11,0.561601836819984,-0.520490286045365,"6",0,"Peripherals","","ultra peripheral"
"MAG_019",1,1,0,1,0,0,"54",0,"Peripherals","","ultra peripheral"
"MAG_021",1,1,0,1,0,0,"23",0,"Peripherals","","ultra peripheral"
"MAG_024",1,1,0,1,0,0,"10",0,"Peripherals","","ultra peripheral"
"MAG_026",1,1,0,1,0,0,"26",0,"Peripherals","","ultra peripheral"
"MAG_027",1,0.6,0,1,0,-1.22474487139159,"9",0,"Peripherals","","ultra peripheral"
"MAG_028",1,1,0,1,0,0,"26",0,"Peripherals","","ultra peripheral"
"MAG_032",2,1,0,2,0,0,"49",0,"Peripherals","","ultra peripheral"
"MAG_033",3,1,0,3,0,0,"47",0,"Peripherals","","ultra peripheral"
"MAG_035",4,0.428571428571429,0.583333333333333,4,0,0.670863179255864,"3",0,"Peripherals","","ultra peripheral"
"MAG_036",2,0.75,0,2,0,-0.866025403784439,"48",0,"Peripherals","","ultra peripheral"
"MAG_050",1,0.666666666666667,0,1,0,-0.577350269189626,"30",0,"Peripherals","","ultra peripheral"
"MAG_052",1,1,0,1,0,0,"22",0,"Peripherals","","ultra peripheral"
"MAG_053",4,0.833333333333333,0,4,2.56939030172023e-17,0.243975018237133,"34",0,"Peripherals","","ultra peripheral"
"MAG_054",2,1,0,2,0,0,"49",0,"Peripherals","","ultra peripheral"
"MAG_056",3,1,0,3,0,0,"51",0,"Peripherals","","ultra peripheral"
"MAG_057",1,1,0,1,0,0,"54",0,"Peripherals","","ultra peripheral"
"MAG_058",3,0.8,1,3,0,0.670820393249937,"20",0,"Peripherals","","ultra peripheral"
"MAG_059",2,1,0,2,0,0,"49",0,"Peripherals","","ultra peripheral"
"MAG_060",1,1,0,1,0,0,"56",0,"Peripherals","","ultra peripheral"
"MAG_062",3,0.8,3,3,0,0.670820393249937,"20",0,"Peripherals","","ultra peripheral"
"MAG_064",2,1,0,2,0,0,"63",0,"Peripherals","","ultra peripheral"
"MAG_039",1,1,0,1,0,0,"25",0,"Peripherals","","ultra peripheral"
"MAG_041",2,1,0,2,0,0,"43",0,"Peripherals","","ultra peripheral"
"MAG_042",2,1,0,2,0,0,"63",0,"Peripherals","","ultra peripheral"
"MAG_043",11,0.647058823529412,2.08228715728716,11,0.561601836819984,-0.520490286045365,"6",0,"Peripherals","","ultra peripheral"
"MAG_045",3,1,0,3,0,0,"62",0,"Peripherals","","ultra peripheral"
"MAG_065",3,0.6,0,3,0,-0.106198848810718,"4",0,"Peripherals","","ultra peripheral"
"MAG_066",1,1,0,1,0,0,"65",0,"Peripherals","","ultra peripheral"
"MAG_067",19,0.846153846153846,8.78908036408036,19,0.961290589690059,1.04951319973082,"6",0,"Peripherals","","ultra peripheral"
"MAG_074",13,0.6875,0,13,0.760589527363463,-0.127989414601319,"6",0,"Peripherals","","ultra peripheral"
"MAG_078",2,1,1,2,0,1.15470053837925,"15",0,"Peripherals","","ultra peripheral"
