category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Group
Metabolism,Metabolism of other amino acids,ko00450,Selenocompound metabolism,1/5,36/14490,0.0277777777777778,80.5,8.87297611515272,0.0123624853867418,0.0451928133839792,0.00839494985460915,K00548,1,Core KO
Metabolism,Metabolism of cofactors and vitamins,ko00670,One carbon pool by folate,1/5,65/14490,0.0153846153846154,44.5846153846154,6.54300035549842,0.0222319747851473,0.0451928133839792,0.00839494985460915,K00548,1,Core KO
Genetic Information Processing,Translation,ko00970,Aminoacyl-tRNA biosynthesis,1/5,66/14490,0.0151515151515152,43.9090909090909,6.49117597555801,0.0225708891786357,0.0451928133839792,0.00839494985460915,K01870,1,Core KO
Metabolism,Amino acid metabolism,ko00220,Arginine biosynthesis,1/5,67/14490,0.0149253731343284,43.2537313432836,6.44050059765487,0.0229097095858812,0.0451928133839792,0.00839494985460915,K01955,1,Core KO
Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",1/5,70/14490,0.0142857142857143,41.4,6.29495621277242,0.0239256070856361,0.0451928133839792,0.00839494985460915,K01955,1,Core KO
Genetic Information Processing,"Folding, sorting and degradation",ko03018,RNA degradation,1/5,79/14490,0.0126582278481013,36.6835443037975,5.90852979303746,0.0269682306590557,0.0458459921203948,0.0085162833660176,K00962,1,Core KO
Cellular Processes,Cellular community - prokaryotes,ko02025,Biofilm formation - Pseudomonas aeruginosa,1/5,90/14490,0.0111111111111111,32.2,5.51619437784979,0.0306766836783358,0.0474094202301553,0.00880670344832606,K01768,1,Core KO
Genetic Information Processing,Translation,ko00970,Aminoacyl-tRNA biosynthesis,11/85,66/14490,0.166666666666667,28.4117647058824,17.1450258396328,1.19929512526518e-13,1.17530922275988e-11,6.81704597519155e-12,K01868/K01869/K01872/K01873/K01874/K01876/K01883/K01887/K01890/K02433/K02434,11,Group KO
Metabolism,Amino acid metabolism,ko00290,"Valine, leucine and isoleucine biosynthesis",5/85,19/14490,0.263157894736842,44.8606811145511,14.6951809464718,6.72207482669105e-08,1.64690833253931e-06,9.55242212213992e-07,K01649/K01652/K01687/K01703/K01754,5,Group KO
Metabolism,Amino acid metabolism,ko00250,"Alanine, aspartate and glutamate metabolism",7/85,70/14490,0.1,17.0470588235294,10.3379367847774,1.65387784964895e-07,3.24160058531194e-06,1.88019797644302e-06,K00265/K00278/K00764/K00820/K01755/K01915/K01953,7,Group KO
Metabolism,Carbohydrate metabolism,ko00630,Glyoxylate and dicarboxylate metabolism,8/85,118/14490,0.0677966101694915,11.5573280159521,8.84521619539687,4.34593288495166e-07,7.09835704542105e-06,4.11719957521736e-06,K00104/K00123/K00382/K00600/K00626/K01681/K01895/K01915,8,Group KO
Genetic Information Processing,Replication and repair,ko03420,Nucleotide excision repair,6/85,61/14490,0.0983606557377049,16.7675988428158,9.47947751350883,1.46178339180437e-06,2.04649674852612e-05,1.18701207755543e-05,K01972/K02335/K03657/K03701/K03702/K03723,6,Group KO
Genetic Information Processing,"Folding, sorting and degradation",ko03018,RNA degradation,6/85,79/14490,0.0759493670886076,12.9471332836932,8.17903813449988,6.72730674220105e-06,7.32528956373004e-05,4.24882531086382e-05,K00937/K01689/K03654/K04043/K04077/K11927,6,Group KO
Metabolism,Carbohydrate metabolism,ko00620,Pyruvate metabolism,7/85,134/14490,0.0522388059701493,8.90517998244074,7.06186603026615,1.33909220690534e-05,0.000131231036276723,7.61168201819876e-05,K00128/K00382/K00626/K01006/K01649/K01895/K01961,7,Group KO
Metabolism,Carbohydrate metabolism,ko00010,Glycolysis / Gluconeogenesis,6/85,108/14490,0.0555555555555556,9.47058823529412,6.78715619730808,4.04477868775701e-05,0.000360353010363806,0.000209012487214238,K00128/K00382/K00845/K01006/K01689/K01895,6,Group KO
Metabolism,Energy metabolism,ko00720,Other carbon fixation pathways,6/85,122/14490,0.0491803278688525,8.38379942140791,6.29120278602572,8.00398103325922e-05,0.000653658451049503,0.0003791359436807,K00239/K00626/K01006/K01681/K01895/K01961,6,Group KO
Genetic Information Processing,Replication and repair,ko03430,Mismatch repair,4/85,44/14490,0.0909090909090909,15.4973262032086,7.397968568,0.000125186706644382,0.000926619140410721,0.000537459007327378,K01972/K02337/K03555/K03657,4,Group KO
