KO,L1,level1,L2,level2,L3,pathway,Description
K00001,l1_09100,Metabolism,l1_09108,Metabolism of cofactors and vitamins,map00830,Retinol metabolism [PATH:ko00830],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00982,Drug metabolism - cytochrome P450 [PATH:ko00982],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00625,Chloroalkane and chloroalkene degradation [PATH:ko00625],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00626,Naphthalene degradation [PATH:ko00626],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00980,Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00350,Tyrosine metabolism [PATH:ko00350],alcohol dehydrogenase  [EC:1.1.1.1] 
K00001,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00071,Fatty acid degradation [PATH:ko00071],alcohol dehydrogenase  [EC:1.1.1.1] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00053,Ascorbate and aldarate metabolism [PATH:ko00053],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00040,Pentose and glucuronate interconversions [PATH:ko00040],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00010,Glycolysis / Gluconeogenesis [PATH:ko00010],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00620,Pyruvate metabolism [PATH:ko00620],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09103,Lipid metabolism,map00561,Glycerolipid metabolism [PATH:ko00561],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00002,l1_09100,Metabolism,l1_09111,Xenobiotics biodegradation and metabolism,map00930,Caprolactam degradation [PATH:ko00930],alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00300,Lysine biosynthesis [PATH:ko00300],homoserine dehydrogenase  [EC:1.1.1.3] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00260,"Glycine, serine and threonine metabolism [PATH:ko00260]",homoserine dehydrogenase  [EC:1.1.1.3] 
K00003,l1_09100,Metabolism,l1_09105,Amino acid metabolism,map00270,Cysteine and methionine metabolism [PATH:ko00270],homoserine dehydrogenase  [EC:1.1.1.3] 
K00004,l1_09100,Metabolism,l1_09101,Carbohydrate metabolism,map00650,Butanoate metabolism [PATH:ko00650],"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase  [EC:1.1.1.4 1.1.1.- 1.1.1.303] "
