sample	shannon	simpson	richness	Chao1	Ace	obs	Pielou	Goods_coverage
YL.RP.1488	7.676435348161	0.999052510387498	10971	14380.0357142857	13443.9738557121	10971	0.571954573203834	1
YL.RP.342	7.70771267660568	0.999082741270945	11247	14494.4886363636	13461.810684415	11247	0.572755294070951	1
YL.RP.348	7.71903445856961	0.999093268184445	11177	15051.598108747	13957.4284286235	11177	0.573980786019806	1
YL.RP.977	7.6871542996726	0.999082691538699	11046	14227.6528066528	13315.4779849694	11046	0.572334077357459	1
YL.RP.995	7.67839350605496	0.999065465747091	11114	14883.4807197943	13428.3307755691	11114	0.57130519261017	1
YL.RP.9	7.69470044682742	0.999077830738243	11191	14755.7487437186	13552.1040574095	11191	0.572094503870267	1
YL.RP.Si051	7.8433144361856	0.998702268065832	10980	13604.776674938	12981.9722061458	10980	0.584336866629032	1
YL.RP.Si062	7.83016744623457	0.999038101774794	11186	14521.4025	13438.5708760526	11186	0.582194268519627	1
YL.RP.Si079	7.82419179637704	0.999051408269132	10918	13066.8	12582.4737327581	10918	0.583267202291009	1
YL.RP.Si080	7.79169760163313	0.99912088924856	11150	14549.5479115479	13367.7046644924	11150	0.579534321757255	1
YL.RP.Si081	7.76330113827236	0.999113729994719	11300	14566.4285714286	13580.8950856177	11300	0.576595430011906	1
YL.RP.Si083	7.78449072898538	0.99904779655861	11237	14351.6882793017	13191.9232899328	11237	0.578515791306823	1
YL.RP.Si090	7.74408253268339	0.999071845710514	11352	15202.2096774194	13720.2355205459	11352	0.574885208294866	1
YL.RP.Si214	7.79512115186004	0.999108435782627	11122	14372.9	13555.4416844029	11122	0.579945432499955	1
YL.RP.Si248	7.76817409612198	0.999092743772681	11313	15178.1509433962	13595.8833430687	11313	0.576886281028059	1
YL.RP.Si249	7.7874903041726	0.999132903528434	11222	15063.6508379888	13505.817677833	11222	0.578821605423311	1
YL.RP.Si268	7.78321629317214	0.999033303702772	11047	14541.2797202797	13554.2509129912	11047	0.579480575954456	1
YL.RS.1488	7.51511986942072	0.99878328930915	11065	15470.9002169197	14048.4043662634	11065	0.559422274829795	1
YL.RS.342	7.57772321121949	0.998873812487736	11139	15213.8228699552	13907.0426717065	11139	0.563678941688487	1
YL.RS.348	7.55818890037592	0.998798638860854	10816	14646.0388349515	13294.187304202	10816	0.564006932254947	1
YL.RS.977	7.55067964013391	0.998820462461697	10617	13942.1208791209	12927.7041015023	10617	0.56457526907469	1
YL.RS.995	7.35118224684935	0.998319302192605	10892	15217.4439655172	13840.2075998059	10892	0.548146485366748	1
YL.RS.9	7.69821429697155	0.999011938990553	10917	14333.0454545455	13057.7268253652	10917	0.573881656401256	1
YL.RS.Si051	7.69760146111194	0.998879513246286	11385	15949.7524752475	14152.6000890108	11385	0.571257072458175	1
YL.RS.Si062	7.67091804098993	0.998955560819402	11172	14976.9295774648	13712.8056226053	11172	0.570430271708806	1
YL.RS.Si079	7.53797830134002	0.998755155294319	11129	15154.875862069	13747.3918694307	11129	0.560776515426322	1
YL.RS.Si080	7.69815551954057	0.998960284667399	11352	15887.3302961276	14471.2834361935	11352	0.571475797250299	1
YL.RS.Si081	7.59411231951143	0.998843291787751	11331	16129.0053191489	14124.7084101934	11331	0.563863924028282	1
YL.RS.Si083	7.49771928496193	0.998696997508209	11003	15279.4383561644	13817.6766083143	11003	0.558463985563351	1
YL.RS.Si090	7.52659395432306	0.99872272401723	11090	14996.5857142857	13657.9995112429	11090	0.560140640103398	1
YL.RS.Si214	7.66158824193943	0.998922198905356	11207	16001.6525	14372.8534559728	11207	0.569545358295134	1
YL.RS.Si248	7.56397551558408	0.998804004746624	11244	15448.6941176471	13896.1579550439	11244	0.562090351383246	1
YL.RS.Si249	7.47064419640529	0.998692004780859	11195	15857.6133333333	14164.775976457	11195	0.555414819884387	1
YL.RS.Si268	7.61850625448317	0.998876014787893	11147	15539.604368932	14086.4445626611	11147	0.566668982064378	1
