"","KO_id","average_RP","sd_RP","average_RS","sd_RS","diff_mean","Highest","p.value","p.adjust","sign","type","origin_p.value","origin_p.adjust","Z_score","Significantly","gene","Description"
"1","K00001",14631.5222444117,1594.53880119808,11256.0969332941,1319.64254446498,-3375.42531111757,"RP",8.35616559163953e-08,3.74008303804238e-07,-1,"Depleted",1.67123311832791e-07,7.48016607608476e-07,-4.94846337715738,"Depleted","E1.1.1.1, adh","alcohol dehydrogenase  [EC:1.1.1.1] "
"2","K00002",10.3082008823529,3.97735254203525,8.92932529411765,2.78882131425215,-1.37887558823529,"RP",0.144864896272003,0.167805787099761,-1,"Depleted",0.289729792544005,0.335611574199521,-0.962872375422033,"None","AKR1A1, adh","alcohol dehydrogenase (NADP+)  [EC:1.1.1.2] "
"3","K00003",5606.55910788235,536.884299761249,3629.36776911765,663.408528047241,-1977.1913387647,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","hom","homoserine dehydrogenase  [EC:1.1.1.3] "
"4","K00004",655.319531764706,147.638023470406,398.104879529412,123.419389584517,-257.214652235294,"RP",4.86714506614574e-06,1.40629773449471e-05,-1,"Depleted",9.73429013229147e-06,2.81259546898942e-05,-4.18813230149126,"Depleted","BDH, butB","(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase  [EC:1.1.1.4 1.1.1.- 1.1.1.303] "
"5","K00005",102.819968117647,70.3326650902778,47.4307794117647,29.0058241945193,-55.3891887058823,"RP",0.00188143567769544,0.00333664539099324,-1,"Depleted",0.00376287135539089,0.00667329078198649,-2.71272278013367,"Depleted","gldA","glycerol dehydrogenase  [EC:1.1.1.6] "
"6","K00006",805.785873764706,142.851531004715,863.979740764706,114.632476585471,58.1938669999997,"RS",0.079915800447258,0.0977831542057913,1,"Enriched",0.159831600894516,0.195566308411583,1.29428699062963,"None","GPD1","glycerol-3-phosphate dehydrogenase (NAD+)  [EC:1.1.1.8] "
"7","K00007",96.4557165882353,38.6730285809324,26.7348720588235,9.28739781007874,-69.7208445294118,"RP",4.28521312391771e-10,5.37997560083099e-09,-1,"Depleted",8.57042624783542e-10,1.0759951201662e-08,-5.71829296656914,"Depleted","dalD","D-arabinitol 4-dehydrogenase  [EC:1.1.1.11] "
"8","K00008",1265.84205582353,221.057564032782,1663.92144135294,195.115800716921,398.079385529412,"RS",1.15053687164067e-05,3.10245552845546e-05,1,"Enriched",2.30107374328133e-05,6.20491105691092e-05,4.00487947045324,"Enriched","SORD, gutB","L-iditol 2-dehydrogenase  [EC:1.1.1.14] "
"9","K00009",399.320048352941,225.600049513419,286.146138705882,98.9661273243059,-113.173909647059,"RP",0.0493437234667638,0.0630878656196067,-1,"Depleted",0.0986874469335277,0.126175731239213,-1.52935794822306,"None","mtlD","mannitol-1-phosphate 5-dehydrogenase  [EC:1.1.1.17] "
"10","K00010",8391.22456264706,869.363310609214,6618.36242976471,672.064260530822,-1772.86213288235,"RP",1.59838449522131e-07,6.63834057346137e-07,-1,"Depleted",3.19676899044261e-07,1.32766811469227e-06,-4.83556675054265,"Depleted","iolG","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase  [EC:1.1.1.18 1.1.1.369] "
"11","K00011",8.15542211764706,2.00408439654718,7.70591305882353,1.80938557618002,-0.449509058823528,"RP",0.226786852239364,0.249225419949063,-1,"Depleted",0.453573704478727,0.498450839898127,-0.67692925743702,"None","AKR1B","aldehyde reductase  [EC:1.1.1.21] "
"12","K00012",5675.5415562353,543.062850187309,5734.17643852941,558.37507230651,58.6348822941136,"RS",0.304914268697827,0.323650515306518,1,"Enriched",0.609828537395654,0.647301030613036,0.457514850612619,"None","UGDH, ugd","UDPglucose 6-dehydrogenase  [EC:1.1.1.22] "
"13","K00013",3689.79687988235,318.455404227444,2395.13396741177,524.211530528988,-1294.66291247059,"RP",8.57042624783542e-10,8.46496571156181e-09,-1,"Depleted",1.71408524956708e-09,1.69299314231236e-08,-5.6407619258295,"Depleted","hisD","histidinol dehydrogenase  [EC:1.1.1.23] "
"14","K00014",2828.19348982353,307.117616633188,1953.44925794118,320.414916699013,-874.744231882351,"RP",8.14190493544365e-09,5.06084333622827e-08,-1,"Depleted",1.62838098708873e-08,1.01216866724565e-07,-5.32452556536992,"Depleted","aroE","shikimate dehydrogenase  [EC:1.1.1.25] "
"15","K00015",1745.98573305882,261.539123543125,1299.91247476471,176.557811607254,-446.073258294119,"RP",2.93108577675971e-07,1.13839589523184e-06,-1,"Depleted",5.86217155351943e-07,2.27679179046367e-06,-4.72716238888371,"Depleted","gyaR, GOR1","glyoxylate reductase  [EC:1.1.1.26] "
"16","K00016",677.188033294117,627.808527171175,512.982522647059,290.199663874523,-164.205510647059,"RP",0.102689868558887,0.122438702460784,-1,"Depleted",0.205379737117773,0.244877404921567,-1.16288194213555,"None","LDH, ldh","L-lactate dehydrogenase  [EC:1.1.1.27] "
"17","K00018",161.362620176471,40.5007805652814,185.309439352941,28.1446212961006,23.9468191764706,"RS",0.00425373609091597,0.00701382943503538,1,"Enriched",0.00850747218183195,0.0140276588700708,2.45655433151862,"Enriched","hprA","glycerate dehydrogenase  [EC:1.1.1.29] "
