"","ID","Description","K_num","Exist_K_num","Significant_K_num","Significant_up_num","Significant_down_num","Z_score","BG_Mean","BG_Sd","ReporterScore","p.value","p.adjust"
"map02010","map02010","ABC transporters",515,453,364,26,338,-66.5291978204944,-36.367860587913,3.14134244546785,-9.60141651417103,0.001,0.0095
"map00720","map00720","Other carbon fixation pathways",121,96,61,38,23,6.15630077705082,-16.7696090254331,3.03880717076554,7.54437794639941,0.001,0.0095
"map03020","map03020","RNA polymerase",66,24,18,16,2,14.0817369789899,-8.40995946223103,3.16235057242577,7.11233493128122,0.001,0.0095
"map03010","map03010","Ribosome",143,92,60,35,25,5.80643479525599,-16.3888683228587,3.27849176463967,6.76997372923219,0.001,0.0095
"map01052","map01052","Type I polyketide structures",127,110,97,7,90,-34.9195102827168,-17.9629447692489,3.16880841455356,-5.35108573796715,0.001,0.0095
"map02040","map02040","Flagellar assembly",55,51,47,3,44,-28.5959622778866,-12.2694617573523,3.09504856107906,-5.27503856509515,0.001,0.0095
"map00543","map00543","Exopolysaccharide biosynthesis",73,48,44,1,43,-28.7506462085674,-11.9256147025987,3.20577126159372,-5.24835683304623,0.001,0.0095
"map03070","map03070","Bacterial secretion system",74,71,58,2,56,-30.8154393332389,-14.2838249510237,3.25783563614529,-5.07441633911761,0.001,0.0095
"map02024","map02024","Quorum sensing",283,229,175,15,160,-39.9929468627305,-25.7589157451736,3.14062141310531,-4.53223398979596,0.001,0.0095
"map00524","map00524","Neomycin, kanamycin and gentamicin biosynthesis",58,41,23,12,11,3.06203036478919,-10.7612827479687,3.14987210444098,4.3885315512552,0.001,0.0095
"map04141","map04141","Protein processing in endoplasmic reticulum",144,49,25,12,13,1.33884434316894,-11.8387635027065,3.13593234109336,4.2021339788476,0.001,0.0095
"map00680","map00680","Methane metabolism",195,159,116,47,69,-8.10063393940411,-21.4558992226581,3.20791317582468,4.16322529671354,0.001,0.0095
"map00020","map00020","Citrate cycle (TCA cycle)",70,54,34,17,17,0.309227369485741,-12.5327213692702,3.13206365110835,4.10015573413126,0.001,0.0095
"map02030","map02030","Bacterial chemotaxis",26,26,23,1,22,-20.6280397138151,-8.62397985352465,3.14329780806636,-3.81893813226528,0.001,0.0095
"map00633","map00633","Nitrotoluene degradation",23,21,15,9,6,4.15815529213448,-7.83120024707067,3.15954083318527,3.79465123959742,0.001,0.0095
"map03008","map03008","Ribosome biogenesis in eukaryotes",83,34,26,14,12,1.00165076950187,-9.94230152167163,3.11444844246625,3.51392951058367,0.002,0.0154576271186441
"map02020","map02020","Two-component system",520,469,349,55,294,-47.1820707395955,-36.9709751340284,3.04504270756064,-3.35335053929248,0.001,0.0095
"map00365","map00365","Furfural degradation",8,8,6,5,1,5.37333813095441,-4.75319920111112,3.02000640658964,3.35315094364352,0.001,0.0095
"map04120","map04120","Ubiquitin mediated proteolysis",133,35,19,10,9,0.147210719825134,-10.2014210027202,3.11236433275282,3.32500652755912,0.001,0.0095
"map00190","map00190","Oxidative phosphorylation",224,135,80,28,52,-9.67603103515743,-19.8641606193406,3.15852681942626,3.22559540147701,0.002,0.0154576271186441
"map04144","map04144","Endocytosis",169,33,16,9,7,0.0811287877070688,-9.84739500169582,3.23082180179233,3.07306450138938,0.002,0.0154576271186441
"map00627","map00627","Aminobenzoate degradation",89,77,52,22,30,-5.36141534331886,-14.8788282956651,3.1322855354679,3.03848830018126,0.003,0.0192676056338028
"map00470","map00470","D-Amino acid metabolism",55,48,39,4,35,-21.1003975384594,-11.8682444959686,3.04523763113536,-3.03166917028041,0.003,0.0192676056338028
