"KO","Direction","W","p_adj","median_RP","median_RS"
"K00368","RS_enrich",0,0.000816,2209.455715,3180.32142900002
"K15864","RS_enrich",0,0.000816,80.9412589999999,155.234458
"K20932","RS_enrich",2,0.000868888888888889,0.232535,0.720018
"K20933","RP_enrich",153,0.0005474,1.040153,0.627718
"K20934","NS",NA,NA,7.975505,7.747099
"K00360","RP_enrich",153,0.0005474,635.612945,324.183100999999
"K00367","NS",NA,NA,114.612008,104.187312
"K00372","RP_enrich",153,0.0005474,6354.74160000004,4252.566967
"K10534","RS_enrich",0,0.000816,7.100767,13.053591
"K00366","NS",NA,NA,384.275931,402.681012
"K17877","RS_enrich",19,0.0107872727272727,0.110223,0.295275
"K00370","RP_enrich",148,0.00101476923076923,5061.425504,4319.47309100003
"K00371","NS",NA,NA,4534.78145599999,4613.599817
"K00374","RP_enrich",153,0.0005474,811.134181999999,522.925309000001
"K02567","RP_enrich",140,0.00347285714285714,1354.98981,1003.883321
"K02568","RP_enrich",153,0.0005474,251.827672,105.873767
"K02305","RP_enrich",153,0.0005474,125.981114,57.064569
"K04561","RP_enrich",153,0.0005474,2346.185165,1644.987615
"K00376","RS_enrich",1,0.000816,615.978422,772.034974
"K00362","RP_enrich",153,0.0005474,11038.118235,6259.27773700001
"K00363","RP_enrich",153,0.0005474,2616.59027699999,1654.77718700001
"K03385","RS_enrich",0,0.000816,360.733439,693.684037999998
"K15876","RS_enrich",0,0.000816,103.903467,177.02868
"K10944","RS_enrich",1,0.000816,19.389891,35.405623
"K10945","RS_enrich",0,0.000816,5.452923,10.36555
"K10946","RS_enrich",3,0.0009316,47.495966,66.869694
"K10535","NS",NA,NA,248.860397,241.76136
"K02586","RP_enrich",153,0.0005474,15.802804,5.89329
"K02588","RP_enrich",152,0.000593454545454545,9.018573,4.545668
"K02591","RP_enrich",149,0.0009265,22.733548,7.649946
"K22896","NS",NA,NA,0.011035,0.008471
"K22897","NS",NA,NA,0.012235,0.01586
"K22898","NS",NA,NA,0,0
"K22899","NS",NA,NA,0.02353,0.018992
