sample	shannon	simpson	richness	Chao1	Ace	obs	Pielou	Goods_coverage
YL.RP.1488	4.85165505744343	0.986604268951959	489	589.647058823529	547.263870259549	489	0.543073993137875	1
YL.RP.342	4.86359841002129	0.986593375471264	497	581.176470588235	549.114087331817	497	0.542987942691003	1
YL.RP.348	4.85838334938809	0.986708761365445	494	583.4375	549.460615663196	494	0.54293517729577	1
YL.RP.977	4.82983764497267	0.986657856746306	489	615.066666666667	552.717379372138	489	0.540631843156035	1
YL.RP.995	4.80963998428789	0.985765750451889	496	626.714285714286	558.651906739418	496	0.537138099006017	1
YL.RP.9	4.77226349364074	0.984868780051421	497	615	558.475757052448	497	0.532791015609371	1
YL.RP.Si051	4.75406270586298	0.982312204945678	496	549.260869565217	545.127906374871	496	0.530931257375747	1
YL.RP.Si062	4.81719138876566	0.985078772330105	501	615.882352941176	578.392059919356	501	0.537113430551418	1
YL.RP.Si079	4.84064465599423	0.98515375325049	497	565.9	553.85754402667	497	0.54042531094688	1
YL.RP.Si080	4.84777042733716	0.986423893256726	504	580	557.697961056887	504	0.540004374225549	1
YL.RP.Si081	4.87203111116271	0.986554224100264	501	544.384615384615	549.565324879289	501	0.543228020786686	1
YL.RP.Si083	4.87313888636544	0.986090517705205	499	594.4	556.779241970932	499	0.543701375477698	1
YL.RP.Si090	4.84401775241985	0.985600893550683	500	575	550.519261425581	500	0.540278195261355	1
YL.RP.Si214	4.85235895156117	0.986226949700645	497	637.769230769231	563.111521980958	497	0.541733132998319	1
YL.RP.Si248	4.82253956923083	0.985231042516602	500	568.9	552.373457728622	500	0.537882623105357	1
YL.RP.Si249	4.82553377094439	0.985314644273368	502	592.434782608696	583.508681555825	502	0.537871074461806	1
YL.RP.Si268	4.84832920681155	0.986259516077903	498	602.117647058824	567.444365730928	498	0.541108053722539	1
YL.RS.1488	4.65818407653207	0.981577213892918	492	582.230769230769	573.823175191478	492	0.520903161381606	1
YL.RS.342	4.70855908437951	0.982847711999808	495	584.375	569.34206120489	495	0.526020480222976	1
YL.RS.348	4.6738124607309	0.981669028439089	485	558.75	545.195293249701	485	0.523861890577872	1
YL.RS.977	4.69731463050625	0.982959853218052	477	563.666666666667	553.245099504356	477	0.527915960524562	1
YL.RS.995	4.65666908693678	0.979653072160766	491	655.25	577.984769499926	491	0.520904728880325	1
YL.RS.9	4.72891289682317	0.982821182667426	490	562.545454545455	546.387266398893	490	0.529160175124088	1
YL.RS.Si051	4.66498252668825	0.980516243170875	505	597.125	582.243541860138	505	0.519477730424615	1
YL.RS.Si062	4.72651829694575	0.982518653483768	499	560.107142857143	559.576384378798	499	0.527342757757224	1
YL.RS.Si079	4.5871104260974	0.979162675128076	494	583.375	559.438190871345	494	0.512619822966861	1
YL.RS.Si080	4.78241536719053	0.984100214569656	501	594	566.418660273872	501	0.533235928758005	1
YL.RS.Si081	4.68413388257238	0.981710591344349	497	560.214285714286	555.107088585336	497	0.522951939236296	1
YL.RS.Si083	4.55003111184445	0.978369219155336	495	580.689655172414	570.890441718156	495	0.508310399761565	1
YL.RS.Si090	4.59278621297605	0.979161090011237	494	604.55	562.30182733992	494	0.513254104812003	1
YL.RS.Si214	4.74611592176058	0.983531069283387	503	580.037037037037	577.782773209783	503	0.528849639635762	1
YL.RS.Si248	4.57502915524336	0.97892642706222	501	583.5	569.794429367764	501	0.51011251290042	1
YL.RS.Si249	4.44912445178924	0.975526660367744	495	588.857142857143	578.373821849695	495	0.49703753075244	1
YL.RS.Si268	4.74138765294447	0.983410575555096	496	587.5	560.843864467635	496	0.529515714039512	1
