,YL.RP.1488,YL.RP.342,YL.RP.348,YL.RP.977,YL.RP.995,YL.RP.9,YL.RP.Si051,YL.RP.Si062,YL.RP.Si079,YL.RP.Si080,YL.RP.Si081,YL.RP.Si083,YL.RP.Si090,YL.RP.Si214,YL.RP.Si248,YL.RP.Si249,YL.RP.Si268,YL.RS.1488,YL.RS.342,YL.RS.348,YL.RS.977,YL.RS.995,YL.RS.9,YL.RS.Si051,YL.RS.Si062,YL.RS.Si079,YL.RS.Si080,YL.RS.Si081,YL.RS.Si083,YL.RS.Si090,YL.RS.Si214,YL.RS.Si248,YL.RS.Si249,YL.RS.Si268
MAG_001,15174.8891,5158.720278,2471.438738,3327.040644,2738.896902,1881.463223,1237.128169,2015.02683,2673.053119,2201.17126,3606.948753,5141.900843,3155.097831,1460.235054,5560.566421,6460.544693,5492.30376,2854.00798,1140.617187,631.699528,838.404295,835.579607,648.246465,734.949493,1153.083691,688.609858,848.789006,1012.472796,647.347427,698.893186,727.443659,1178.174847,1262.591294,2634.902219
MAG_002,13144.66028,2818.252893,3093.320169,3649.210753,6941.991018,2226.129224,3574.407794,11429.9603,6695.104701,6169.320642,4273.829054,5410.543208,2751.938751,6277.651847,4713.497869,6929.641043,3944.296083,1022.01063,625.549998,510.382464,446.559163,546.277342,636.715854,329.227341,803.122698,367.633882,672.526443,485.030131,382.195241,314.807849,1069.33501,746.804646,692.577377,678.992727
MAG_003,2010.53029,80.325587,135.85236,426.924548,276.949101,168.887977,108.900204,417.267911,1021.490936,588.918226,264.699497,454.046453,334.467605,271.561472,322.328268,109.795209,448.038458,607.498136,4.229854,16.766272,64.660137,220.547509,39.340122,38.886021,104.545029,77.754364,141.234338,79.238655,36.904395,52.787485,88.320665,13.539038,7.167296,116.018098
MAG_004,3837.947051,6.692496,22.5533,2.913824,2.72854,1.986446,1.371016,2.022363,1.234313,2.314333,1.921608,1.437449,1.147293,6.066031,1.850884,2.654305,4.799543,1226.626756,2.297607,4.69946,0.775824,1.37454,1.111839,1.049023,1.394886,0.629616,0.913332,0.844565,0.855843,0.512776,3.523413,1.075176,0.876719,2.504638
MAG_005,2908.379027,314.81339,166.889063,404.830383,999.624746,384.74076,1071.564071,1854.196209,679.146211,1506.861296,1120.126916,1077.895299,842.204182,1098.798405,535.619479,985.348669,282.389979,162.5698,170.589552,54.455762,51.994724,135.890658,66.706995,62.962916,80.310943,30.244577,283.509377,136.490496,42.663614,273.862898,676.316412,188.142983,45.818541,93.424795
MAG_006,4128.767915,596.401495,830.623193,1497.125346,1422.297271,276.610616,298.006087,304.514098,594.08334,616.443004,1358.151512,970.648575,579.983399,663.934429,1077.178655,655.9264,1301.068878,924.913773,177.372535,214.699705,299.219712,232.147859,127.730393,279.700588,472.898621,338.68928,330.275012,447.603858,174.326198,209.945324,255.113144,345.602585,287.143154,860.146264
MAG_007,4098.229165,1713.592796,1172.245439,1623.610487,1516.055506,1060.613068,945.194622,1181.085917,1763.066569,1972.558851,2021.515452,1684.333387,1753.327811,1142.027854,1834.844287,2221.056658,2566.255607,889.17694,565.566235,499.301559,726.273194,1438.616826,856.421942,894.855011,1339.995418,794.94276,1050.285624,766.400012,749.275175,712.136019,545.583947,642.590562,567.538467,1192.555493
MAG_008,4781.966891,3117.476042,1648.515241,3342.424469,1712.204899,1613.891019,385.183593,1051.498605,766.902334,812.321109,1142.557746,671.046653,1414.336248,932.333375,851.662324,1071.731559,1248.579307,753.624423,481.338639,232.255122,412.141907,816.398885,581.723984,158.816516,491.912642,181.366606,250.802283,179.817988,124.483584,164.75571,252.101069,147.016824,148.07729,334.750457
MAG_009,16394.57418,9779.980579,5613.081594,1835.265039,1009.095739,1469.814044,666.379841,430.206203,354.089008,807.282782,381.62938,1047.671312,313.096635,758.488411,2577.874364,834.28754,5303.682815,4594.219536,2746.221536,878.57066,515.237771,419.612277,1010.539318,392.533887,759.153561,194.387276,423.031007,205.430623,277.074292,213.282359,421.344938,384.960823,540.13936,2252.590565
MAG_010,3229.242369,2392.381054,2752.056523,4192.491068,1625.019835,1688.275738,341.404418,458.695009,452.008872,1357.481478,468.710001,529.327945,651.884441,1327.593518,860.176925,664.06484,795.083195,4186.748254,3063.82382,1783.708559,4438.116932,4443.276253,2452.273589,1389.450532,1633.374614,1554.316249,2338.42596,1442.402903,2047.256319,1080.459586,3099.262491,1206.451164,994.860233,1492.019978
MAG_011,1438.31435,5249.051495,2054.481438,906.0747,370.492795,239.983722,283.864405,473.433256,383.10017,908.707532,681.485713,590.991604,430.087275,791.968606,357.455388,1288.925682,997.570245,261.984748,850.744696,159.962442,225.040776,252.102653,78.067146,352.281287,334.118392,199.671097,594.21616,327.098254,184.961339,284.409099,739.610498,320.39065,398.234185,622.985816
MAG_012,20457.38557,12212.91366,12981.43236,11637.95336,6853.875035,3899.852742,3262.933704,3522.689942,5560.419538,12981.10951,6777.778008,7283.99915,5940.20671,8792.313401,4062.887804,4933.636748,10548.95983,5170.878328,2029.322232,2161.554473,3196.068876,4268.778278,2645.66762,2029.215094,4044.176339,2591.048329,4934.399801,2948.891404,2156.863616,2553.192335,3952.186684,1545.148564,1591.097026,5043.295248
MAG_013,4077.111138,16606.84025,8865.253837,4534.135537,2688.697925,1105.115895,198.934797,70.861532,158.154181,556.514262,77.035314,140.229342,163.634415,149.475847,284.835009,161.201132,258.050242,1074.694586,4838.83618,939.555306,1107.869912,1060.72373,613.466829,460.37439,65.116822,189.223586,249.688845,74.990796,168.296989,89.600044,165.20501,89.554206,163.643121,246.523024
