Sig_MAG,Sig_KO,Sig_cazy
MAG_014,K23492,GH170
MAG_061,K07994,GH126
MAG_067,K01678,GH14
MAG_081,K03327,CBM68
MAG_108,K06165,GH13_29
MAG_111,K06928,CBM50
MAG_136,K06989,GH66
MAG_141,K07190,GT102
MAG_142,K10550,GH5_41
MAG_146,K10620,CBM71
MAG_147,K23103,CBM34
MAG_148,K22382,GH13_5
MAG_159,K00527,GT108
MAG_183,K10939,CBM70
MAG_189,K13479,GH13_12
MAG_215,K18855,GH13_1
MAG_274,K19578,GH13_14
MAG_292,K22838,PL12_1
MAG_294,K07727,GH30_2
MAG_318,K14749,GH101
MAG_322,K20838,PL33_2
MAG_428,K22840,GH68
,K01163,GH5_44
,K10037,CE17
,K17754,GH13_41
,K20403,CBM17
,K19301,GH43_35
,K20482,CBM66
,K20587,GH4
,K16838,GT61
,K22443,GH5_47
,K23122,GH43_4
,K12940,CBM27
,K22734,GT32
,K03502,GT27
,K16053,GH59
,K03714,GH32
,K07720,AA1_3
,K08368,CBM59
,K10036,CBM22
,K12500,GH13_20
,K16850,GT93
,K07718,CBM28
,K09673,CE19
,K10121,GH13
,K16269,GH109
,K16321,AA4
,K01780,
,K09605,
,K01128,
,K09706,
,K11943,
,K23120,
,K03855,
,K18257,
,K09768,
,K02321,
,K17213,
,K18640,
,K06416,
,K13256,
,K07149,
,K10551,
,K02790,
,K10038,
,K11257,
,K12111,
,K19088,
,K20485,
,K23230,
,K19173,
,K19576,
,K10710,
,K23182,
,K12722,
,K16849,
,K03476,
,K20438,
,K19433,
,K18992,
,K22222,
,K05832,
,K08175,
,K10851,
,K17076,
,K19243,
,K22441,
,K00106,
,K05352,
,K19350,
,K19510,
,K01449,
,K05601,
,K08242,
,K19522,
,K00889,
,K15524,
,K13277,
,K19169,
,K19412,
,K23257,
,K00801,
,K01027,
,K22305,
,K13600,
,K19954,
,K03697,
,K15737,
,K17398,
,K20480,
,K03481,
,K07680,
,K07698,
,K11634,
,K12867,
,K13700,
,K14375,
,K21900,
,K20021,
,K14665,
,K20859,
,K02231,
,K17195,
,K13530,
,K00899,
,K01223,
,K02083,
,K02755,
