name,MAG,RS_sum,RP_sum,Completeness,Contamination,size,Domain,Phylum,Class,Order,Family,Genus,Species,category
MAG_001,YL.RP.1488_bins.metabat2.1.fa.11,37071.62508,139512.8512,66.55,0.69,4.62054634094238,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,CADEED01,Unassign,RP sig
MAG_002,YL.RP.1488_bins.metabat2.1.fa.19,20659.49759,188087.5113,61.15,1.02,3.75112915039062,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Variovorax,Unassign,RP sig
MAG_003,YL.RP.1488_bins.metabat2.1.fa.2,3418.874828,14881.9682,70.3,0.99,1.19654083251953,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA4665,PMNU01,Unassign,RP sig
MAG_004,YL.RP.1488_bins.metabat2.1.fa.29,2502.132026,7803.28159,78.45,0.86,2.93344497680664,Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Pseudonocardiaceae,Crossiella,Unassign,RP sig
MAG_005,YL.RP.1488_bins.metabat2.1.fa.30,5111.910086,32466.85617,63.79,3.45,3.98921203613281,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,RP sig
MAG_006,YL.RP.1488_bins.metabat2.1.fa.40,11955.05601,34343.52843,80.7,0,6.1741828918457,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,ER46,Unassign,RP sig
MAG_007,YL.RP.1488_bins.metabat2.1.fa.42,28463.03037,60539.22695,56.02,1.72,2.06646156311035,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,JACDAZ01,Unassign,RP sig
MAG_008,YL.RP.1488_bins.metabat2.1.fa.5,11422.76786,53129.26283,98.57,2.57,6.82465267181396,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Chryseolinea,Unassign,RP sig
MAG_009,YL.RP.1488_concoct_26,32456.65958,99152.99894,89.43,5.81,8.42778873443604,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,PMG-095,Unassign,RP sig
MAG_010,YL.RP.1488_concoct_30,77292.45487,47571.79446,56.45,0.19,1.21191692352295,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Luteolibacter,Unassign,RS sig
MAG_011,YL.RP.342_bins.metabat2.1.fa.100,12371.75848,34891.97675,58.1,0.86,5.94946956634521,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP sig
MAG_012,YL.RP.342_bins.metabat2.1.fa.101,105723.5685,283420.6941,64.12,0,7.89369964599609,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unassign,RP sig
MAG_013,YL.RP.342_bins.metabat2.1.fa.109,23194.72675,80192.16131,52.07,0.86,5.62510871887207,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Ohtaekwangia,Unassign,RP
MAG_014,YL.RP.342_bins.metabat2.1.fa.111,186762.5262,422282.1311,79.31,0,3.74282264709473,Bacteria,Firmicutes,Bacilli,Bacillales_B,DSM-1321,Peribacillus,Peribacillus frigoritolerans,RP sig
MAG_015,YL.RP.342_bins.metabat2.1.fa.12,27320.84329,105206.5704,57.1,0,0.879225730895996,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,EFPC-124,Unassign,Unassign,RP sig
MAG_016,YL.RP.342_bins.metabat2.1.fa.13,47525.02276,152001.006,87.72,4.94,7.99122047424316,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig
MAG_017,YL.RP.342_bins.metabat2.1.fa.27,789.106896,2719.961542,58.35,1.36,0.857809066772461,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,UBA1547,UBA6022,Unassign,RP sig
MAG_018,YL.RP.342_bins.metabat2.1.fa.37,19596.94495,55965.29939,96.19,3.2,6.07673645019531,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Niastella,Unassign,RP sig
MAG_019,YL.RP.342_bins.metabat2.1.fa.48,62106.82849,221137.8154,72.96,4.52,9.3264856338501,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Unassign,Unassign,RP sig
MAG_020,YL.RP.342_bins.metabat2.1.fa.72,428.57691,7121.014414,71.93,1.25,1.99926376342773,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Unassign,RP sig
MAG_021,YL.RP.342_bins.metabat2.1.fa.76,7688.789008,23911.30868,98.41,3.72,5.39626884460449,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,Unassign,RP sig
